InvPendulum_mu3_higher,InvPendulum_mu2_higher,InvPendulum_mu0_higher,InvPendulum_std2_higher,Iteration,InvPendulum_mu1_higher,NumTrajectories,NatGradInftyNorm,InvPendulum_std3_higher,NatGrad2Norm,StepSize,J,AvgRet,ActionIn1,ReturnMean,BatchSize,InvPendulum_std0_higher,AvgEpLen,TimestepsSoFar,MinEpLen,ReturnMax,VarJ,InvPendulum_std1_higher
0.32084644,-0.34954277,-0.22524133,0.01,21,-0.85091627,2100,0.11917583,0.01,0.15612884,0.001,-159.79843651914797,-159.79843651914797,-1.0743173,-158.4153018126135,100,0.01,68.87190476190476,144631,22,-110.59333065387007,1.745747901233918,0.01
0.32083955,-0.34948105,-0.2253208,0.01,22,-0.8507971,2200,0.23567913,0.01,0.31247446,0.001,-154.0731911454426,-154.0731911454426,-1.0789758,-158.21793314592392,100,0.01,68.74772727272727,151245,22,-110.59333065387007,1.3551089409206565,0.01
0.32107523,-0.3494366,-0.22544636,0.01,23,-0.8506411,2300,0.19738011,0.01,0.28679463,0.001,-160.1935916475253,-160.1935916475253,-1.0889192,-158.3038313416457,100,0.01,68.79,158217,22,-110.59333065387007,1.8415605217002424,0.01
0.3212726,-0.3495205,-0.22538055,0.01,24,-0.8504624,2400,0.12973432,0.01,0.16797565,0.001,-158.7525001042919,-158.7525001042919,-1.0853733,-158.32252587342265,100,0.01,68.78083333333333,165074,22,-110.59333065387007,1.8424236875989215,0.01
0.321224,-0.3495646,-0.22546469,0.01,25,-0.85059214,2500,0.44825915,0.01,0.5170833,0.001,-157.86273698335629,-157.86273698335629,-1.1204705,-158.30413431781997,100,0.01,68.7472,171868,22,-110.59333065387007,1.717919912611371,0.01
0.32111472,-0.34911636,-0.22523229,0.01,26,-0.85061425,2600,0.09516331,0.01,0.13705993,0.001,-157.9504766782918,-157.9504766782918,-1.1081318,-158.29053210091504,100,0.01,68.77576923076923,178817,21,-110.25980988259681,1.7254731460829966,0.01
0.3211751,-0.34915313,-0.22513713,0.01,27,-0.85054547,2700,0.3274993,0.01,0.3659912,0.001,-157.91490932865597,-157.91490932865597,-1.0929769,-158.27662014638693,100,0.01,68.73555555555555,185586,21,-110.25980988259681,1.9128291806685107,0.01
0.3215026,-0.34923166,-0.22526288,0.01,28,-0.85061413,2800,0.14496389,0.01,0.20496103,0.001,-158.42135532140657,-158.42135532140657,-1.1297661,-158.28178925978048,100,0.01,68.76535714285714,192543,21,-110.25980988259681,1.7044200979116646,0.01
0.32138193,-0.34925613,-0.22511792,0.01,29,-0.8505378,2900,0.25951424,0.01,0.35076323,0.001,-157.85074231824976,-157.85074231824976,-1.0995685,-158.2669255721415,100,0.01,68.75344827586207,199385,21,-110.25980988259681,1.5264629867198323,0.01
0.3211224,-0.34902617,-0.2251045,0.01,30,-0.8505891,3000,0.2747981,0.01,0.38594043,0.001,-158.77311922049404,-158.77311922049404,-1.076947,-158.28379869375325,100,0.01,68.76733333333334,206302,21,-110.25980988259681,1.5742125837556407,0.01
0.3208476,-0.3487936,-0.22513478,0.01,31,-0.8507249,3100,0.13809352,0.01,0.20106083,0.001,-157.8673507928457,-157.8673507928457,-1.1147121,-158.27036489049817,100,0.01,68.7483870967742,213120,21,-110.25980988259681,1.5049369846812155,0.01
0.3207095,-0.34885567,-0.22524655,0.01,32,-0.85065407,3200,0.39879552,0.01,0.5250939,0.001,-159.57638722659004,-159.57638722659004,-1.1174855,-158.31117808850104,100,0.01,68.7815625,220101,21,-110.25980988259681,1.7942943968364062,0.01
0.32110828,-0.34890988,-0.22520588,0.01,33,-0.85031927,3300,0.165193,0.01,0.19475612,0.001,-157.63544241188885,-157.63544241188885,-1.1336904,-158.29070124981584,100,0.01,68.7639393939394,226921,21,-110.25980988259681,1.7246596761675985,0.01
0.32105598,-0.34882146,-0.22537108,0.01,34,-0.85032856,3400,0.2128336,0.01,0.31367418,0.001,-158.37172856290087,-158.37172856290087,-1.10584,-158.293084406083,100,0.01,68.74823529411765,233744,21,-110.25980988259681,1.57138029097695,0.01
0.32126883,-0.34870183,-0.22527055,0.01,35,-0.8504979,3500,0.25983685,0.01,0.2843806,0.001,-157.75063682293347,-157.75063682293347,-1.1264508,-158.27758590370735,100,0.01,68.744,240604,21,-110.25980988259681,2.201761287648495,0.01
0.321328,-0.34874886,-0.225358,0.01,36,-0.8502381,3600,0.34121025,0.01,0.4374816,0.001,-158.43505512641653,-158.43505512641653,-1.114747,-158.28196004878257,100,0.01,68.72833333333334,247422,21,-110.25980988259681,1.650497398144281,0.01
0.32166922,-0.34902236,-0.22535521,0.01,37,-0.85025096,3700,0.22761649,0.01,0.3189891,0.001,-159.78141061270458,-159.78141061270458,-1.1004603,-158.3224857396994,100,0.01,68.75,254375,21,-110.25980988259681,1.4390446112192503,0.01
0.32189685,-0.34912103,-0.22555222,0.01,38,-0.85021365,3800,0.3992003,0.01,0.43618813,0.001,-156.94975960012212,-156.94975960012212,-1.0602052,-158.28636136760525,100,0.01,68.76052631578948,261290,21,-110.25980988259681,1.7100030473702477,0.01
0.32196,-0.34896445,-0.2256011,0.01,39,-0.8506128,3900,0.19238587,0.01,0.24567968,0.001,-156.44926059743347,-156.44926059743347,-1.1115298,-158.23925621965213,100,0.01,68.71641025641026,267994,21,-110.25980988259681,1.6742864303224496,0.01
0.32189372,-0.34909883,-0.22563101,0.01,40,-0.8508052,4000,0.06745841,0.01,0.0891163,0.001,-159.12069656628205,-159.12069656628205,-1.1013199,-158.26129222831787,100,0.01,68.7295,274918,21,-110.25980988259681,1.7913124016777624,0.01
0.32186824,-0.3491454,-0.2256549,0.01,41,-0.8508727,4100,0.18184526,0.01,0.2586979,0.001,-158.5862038473101,-158.5862038473101,-1.0751191,-158.26921690195186,100,0.01,68.72487804878048,281772,21,-110.25980988259681,1.710303416382059,0.01
0.3218727,-0.34896356,-0.22580989,0.01,42,-0.85077363,4200,0.35509917,0.01,0.38634112,0.001,-159.9326615232229,-159.9326615232229,-1.0841389,-158.3088227262678,100,0.01,68.78071428571428,288879,21,-110.25980988259681,1.772043186354698,0.01
0.32181364,-0.34931865,-0.22594711,0.01,43,-0.85074455,4300,0.17032163,0.01,0.21584097,0.001,-158.72608154522214,-158.72608154522214,-1.0648518,-158.31852641973188,100,0.01,68.7786046511628,295748,21,-110.25980988259681,1.9843829120467356,0.01
0.32188645,-0.34921676,-0.22590362,0.01,44,-0.8505742,4400,0.21019834,0.01,0.2271921,0.001,-157.6939637166565,-157.6939637166565,-1.0956805,-158.30433181284383,100,0.01,68.7865909090909,302661,21,-110.25980988259681,1.2716710020615838,0.01
0.3218296,-0.34915304,-0.22589181,0.01,45,-0.85036397,4500,0.27643725,0.01,0.30784366,0.001,-158.30390307347633,-158.30390307347633,-1.1483519,-158.3043222853023,100,0.01,68.76,309420,21,-110.25980988259681,1.913006274724593,0.01
0.321887,-0.3494295,-0.22579943,0.01,46,-0.85044473,4600,0.18582228,0.01,0.2185552,0.001,-158.10552243792782,-158.10552243792782,-1.1025345,-158.3000005494898,100,0.01,68.77869565217391,316382,21,-110.25980988259681,1.3648478936652366,0.01
0.3219737,-0.34924367,-0.22582297,0.01,47,-0.85051656,4700,0.23290542,0.01,0.30489588,0.001,-155.75421515800682,-155.75421515800682,-1.1381357,-158.2458349028625,100,0.01,68.72446808510638,323005,21,-110.25980988259681,1.6244032189177104,0.01
0.32195067,-0.34937054,-0.22567433,0.01,48,-0.8502836,4800,0.19605613,0.01,0.2232853,0.001,-159.73686648128623,-159.73686648128623,-1.065354,-158.27689806074633,100,0.01,68.74833333333333,329992,21,-110.25980988259681,1.733220785820582,0.01
0.32193828,-0.34946182,-0.22572848,0.01,49,-0.8500876,4900,0.18180656,0.01,0.2810498,0.001,-158.80269187766118,-158.80269187766118,-1.0936271,-158.28762854680582,100,0.01,68.75102040816327,336880,21,-110.25980988259681,1.5943599534600557,0.01
0.3220079,-0.34959027,-0.22588529,0.01,50,-0.8499058,5000,0.26648897,0.01,0.4118957,0.001,-159.1725516180481,-159.1725516180481,-1.1148905,-158.30532700823065,100,0.01,68.7808,343904,21,-110.25980988259681,2.0070078401925753,0.01
