TimestepsSoFar,InvPendulum_mu2_higher,InvPendulum_std3_higher,ReturnMax,NumTrajectories,InvPendulum_std1_higher,InvPendulum_std2_higher,ReturnMean,MinEpLen,Iteration,NatGrad2Norm,StepSize,BatchSize,ActionIn1,InvPendulum_std0_higher,InvPendulum_mu3_higher,AvgEpLen,AvgRet,NatGradInftyNorm,InvPendulum_mu1_higher,InvPendulum_mu0_higher,J,VarJ
84089,0.20813589,0.01,-42.08663538369266,1300,0.01,0.01,-101.59669664961572,15,13,0.19204079,0.01,100,-1.4086851,0.01,-0.5188629,64.68384615384615,-101.97925583870361,0.18873177,-0.3519709,-0.7431141,-101.97925583870361,1.4882145179942032
90140,0.20797674,0.01,-42.08663538369266,1400,0.01,0.01,-101.62911782849869,15,14,0.16935831,0.01,100,-1.4219993,0.01,-0.5207502,64.38571428571429,-102.0505931539774,0.13912567,-0.3518389,-0.7434026,-102.0505931539774,1.193550330724026
96044,0.2071971,0.01,-42.08663538369266,1500,0.01,0.01,-101.70449440456423,15,15,0.19208497,0.01,100,-1.4051025,0.01,-0.5213122,64.02933333333333,-102.75976646948169,0.12521167,-0.35193366,-0.74479383,-102.75976646948169,1.2006296427740675
102794,0.20664082,0.01,-42.08663538369266,1600,0.01,0.01,-101.55763056125481,15,16,0.11810741,0.01,100,-1.3748518,0.01,-0.52081156,64.24625,-99.35467291161349,0.09588087,-0.35068396,-0.74604595,-99.35467291161349,1.7717589887481286
109271,0.20622082,0.01,-42.08663538369266,1700,0.01,0.01,-101.60072132303094,15,17,0.19894984,0.01,100,-1.4184648,0.01,-0.5205255,64.27705882352942,-102.29017351144928,0.14468828,-0.35164276,-0.74557966,-102.29017351144928,1.3570418388307046
115340,0.20589472,0.01,-42.08663538369266,1800,0.01,0.01,-101.6393996813514,15,18,0.19737215,0.01,100,-1.4276586,0.01,-0.5219724,64.07777777777778,-102.29693177279934,0.11338732,-0.35226214,-0.74675214,-102.29693177279934,1.1287433406185192
121899,0.20517656,0.01,-42.08663538369266,1900,0.01,0.01,-101.65798848827339,15,19,0.14383589,0.01,100,-1.396675,0.01,-0.5231063,64.15736842105264,-101.992587012869,0.12874024,-0.35330987,-0.74775034,-101.992587012869,1.3331567312999035
128185,0.20480739,0.01,-42.08663538369266,2000,0.01,0.01,-101.66683438740316,15,20,0.27156845,0.01,100,-1.4027133,0.01,-0.5218189,64.0925,-101.83490647086883,0.20423688,-0.35290703,-0.74741435,-101.83490647086883,1.0326922533520502
135272,0.20416893,0.01,-42.08663538369266,2100,0.01,0.01,-101.59480296521411,15,21,0.13655461,0.01,100,-1.4162079,0.01,-0.5205681,64.4152380952381,-100.15417452143296,0.10346728,-0.35179728,-0.7494567,-100.15417452143296,1.3026423645877083
142342,0.20454744,0.01,-42.08663538369266,2200,0.01,0.01,-101.54027514011314,15,22,0.20027441,0.01,100,-1.4275362,0.01,-0.5208538,64.7009090909091,-100.39519081299274,0.19898658,-0.35283196,-0.7487022,-100.39519081299274,1.2774688079057963
148824,0.2044324,0.01,-42.08663538369266,2300,0.01,0.01,-101.53683310806632,15,23,0.19270343,0.01,100,-1.4384408,0.01,-0.52098346,64.70608695652174,-101.46110840303616,0.18381986,-0.35482183,-0.74884844,-101.46110840303616,1.2566278330084233
155975,0.20627059,0.01,-42.08663538369266,2400,0.01,0.01,-101.41168724714659,15,24,0.12546553,0.01,100,-1.4121988,0.01,-0.5208008,64.98958333333333,-98.53333244599281,0.094856516,-0.35526052,-0.74851876,-98.53333244599281,1.4919662454255078
162841,0.20661041,0.01,-42.08663538369266,2500,0.01,0.01,-101.38972898222242,15,25,0.12729356,0.01,100,-1.4610062,0.01,-0.5198523,65.1364,-100.86273062404253,0.090672754,-0.35596538,-0.7487679,-100.86273062404253,1.3556797550298705
169929,0.20718521,0.01,-42.08663538369266,2600,0.01,0.01,-101.36373841837026,15,26,0.07739903,0.01,100,-1.4114299,0.01,-0.51948845,65.35730769230769,-100.71397432206601,0.055312708,-0.3553862,-0.7478612,-100.71397432206601,1.2920179399152842
176386,0.20663208,0.01,-42.08663538369266,2700,0.01,0.01,-101.32972611445587,15,27,0.33313376,0.01,100,-1.4041736,0.01,-0.5197062,65.32814814814814,-100.4454062126816,0.2935685,-0.35495389,-0.74810374,-100.4454062126816,1.5247976588546046
182906,0.20812848,0.01,-42.08663538369266,2800,0.01,0.01,-101.35328129073955,15,28,0.16419914,0.01,100,-1.4282305,0.01,-0.5167705,65.32357142857143,-101.989271050399,0.14272816,-0.35458723,-0.74777836,-101.989271050399,1.3431790315866823
189684,0.20872855,0.01,-42.08663538369266,2900,0.01,0.01,-101.29793276891064,15,29,0.27286285,0.01,100,-1.3792204,0.01,-0.5164539,65.40827586206896,-99.74817415770174,0.22227389,-0.355033,-0.74635106,-99.74817415770174,1.5261524318708006
196400,0.21001314,0.01,-42.08663538369266,3000,0.01,0.01,-101.37223166154342,15,30,0.20209336,0.01,100,-1.4028769,0.01,-0.51575977,65.46666666666667,-103.5268995478939,0.15840729,-0.3556436,-0.7485738,-103.5268995478939,1.356518030325568
202229,0.20928465,0.01,-42.08663538369266,3100,0.01,0.01,-101.44623591195936,15,31,0.17086779,0.01,100,-1.4007483,0.01,-0.5155904,65.23516129032258,-103.66636342443721,0.14296375,-0.3546359,-0.7469897,-103.66636342443721,0.9945557225544464
209137,0.20785502,0.01,-42.08663538369266,3200,0.01,0.01,-101.4369294314468,15,32,0.19805752,0.01,100,-1.3722526,0.01,-0.51554245,65.3553125,-101.14842853555753,0.18462817,-0.35476795,-0.7479149,-101.14842853555753,1.7026293964120043
216226,0.20848201,0.01,-42.08663538369266,3300,0.01,0.01,-101.41713721327748,15,33,0.18576255,0.01,100,-1.4171252,0.01,-0.51587385,65.5230303030303,-100.78378623185887,0.14177059,-0.35466334,-0.74976116,-100.78378623185887,1.5170766252418246
222370,0.20893326,0.01,-42.08663538369266,3400,0.01,0.01,-101.4448664304638,15,34,0.110461555,0.01,100,-1.4282662,0.01,-0.5148192,65.40294117647059,-102.35993059761327,0.098235205,-0.35324565,-0.7494076,-102.35993059761327,1.1414568604918343
228600,0.20900683,0.01,-42.08663538369266,3500,0.01,0.01,-101.41413035115306,15,35,0.1919557,0.01,100,-1.4237719,0.01,-0.51477265,65.31428571428572,-100.3691036545879,0.1728815,-0.354228,-0.74891,-100.3691036545879,1.527765835900846
234983,0.20946328,0.01,-42.08663538369266,3600,0.01,0.01,-101.47465640566942,15,36,0.23072779,0.01,100,-1.4171613,0.01,-0.5165015,65.27305555555556,-103.59306831374174,0.22612044,-0.3542513,-0.74821216,-103.59306831374174,1.3199487329180652
241073,0.20942505,0.01,-42.08663538369266,3700,0.01,0.01,-101.43680555608627,15,37,0.08594051,0.01,100,-1.4129393,0.01,-0.5187627,65.15486486486486,-100.07417497109269,0.055398885,-0.3547017,-0.74813366,-100.07417497109269,1.3344867926427404
247740,0.20905375,0.01,-42.08663538369266,3800,0.01,0.01,-101.43720487370258,15,38,0.34187874,0.01,100,-1.4396107,0.01,-0.5190083,65.19473684210526,-101.451979625506,0.32684395,-0.3541477,-0.74765044,-101.451979625506,1.813866530531748
253711,0.21232219,0.01,-42.08663538369266,3900,0.01,0.01,-101.42980051603355,15,39,0.1726884,0.01,100,-1.3801624,0.01,-0.5199583,65.05410256410256,-101.14843492460997,0.11898756,-0.35408497,-0.747965,-101.14843492460997,1.3008953475598302
260065,0.21126425,0.01,-42.08663538369266,4000,0.01,0.01,-101.44253418293876,15,40,0.27196965,0.01,100,-1.4019426,0.01,-0.52033067,65.01625,-101.93914719224276,0.26000643,-0.35352957,-0.7467751,-101.93914719224276,1.1985694990712232
267145,0.2086642,0.01,-42.08663538369266,4100,0.01,0.01,-101.42534111351367,15,41,0.15019554,0.01,100,-1.4116759,0.01,-0.52034134,65.15731707317073,-100.73761833650977,0.10029229,-0.35430813,-0.7469487,-100.73761833650977,1.6764870847679263
273287,0.20863889,0.01,-42.08663538369266,4200,0.01,0.01,-101.45754945957947,15,42,0.21104918,0.01,100,-1.3715751,0.01,-0.5194624,65.06833333333333,-102.77809164827778,0.17781529,-0.35361755,-0.7459458,-102.77809164827778,1.5510954661910343
279704,0.21041705,0.01,-42.08663538369266,4300,0.01,0.01,-101.41831394590545,15,43,0.1422984,0.01,100,-1.390329,0.01,-0.5189561,65.04744186046511,-99.77042237159607,0.10973168,-0.35370126,-0.7469602,-99.77042237159607,1.2206141453433
286518,0.21087645,0.01,-42.08663538369266,4400,0.01,0.01,-101.46299025796951,15,44,0.07453859,0.01,100,-1.407362,0.01,-0.5178588,65.11772727272728,-103.38407167672392,0.056612134,-0.3543368,-0.7474139,-103.38407167672392,1.6919852879145045
293066,0.2111537,0.01,-42.08663538369266,4500,0.01,0.01,-101.41629208890957,15,45,0.07480163,0.01,100,-1.442163,0.01,-0.51750344,65.12577777777778,-99.36157265027195,0.052003957,-0.354158,-0.74684775,-99.36157265027195,1.5426744704959345
299846,0.21089837,0.01,-42.08663538369266,4600,0.01,0.01,-101.39906295771276,15,46,0.27669913,0.01,100,-1.3932831,0.01,-0.5179704,65.18391304347826,-100.62375205385646,0.21492381,-0.35363796,-0.74692416,-100.62375205385646,1.4701949462380461
306411,0.21048851,0.01,-42.08663538369266,4700,0.01,0.01,-101.42256895868424,15,47,0.050932534,0.01,100,-1.3790085,0.01,-0.51965815,65.19382978723404,-102.50384500337202,0.03920993,-0.35148874,-0.7470673,-102.50384500337202,1.144984005460289
312960,0.21009642,0.01,-42.08663538369266,4800,0.01,0.01,-101.37293222547208,15,48,0.26931202,0.01,100,-1.4013864,0.01,-0.5199607,65.2,-99.04000576450083,0.19829133,-0.35142574,-0.7469665,-99.04000576450083,1.5814184018950488
319102,0.2091794,0.01,-42.08663538369266,4900,0.01,0.01,-101.36676251516731,15,49,0.30238545,0.01,100,-1.3953217,0.01,-0.5198375,65.12285714285714,-101.07061642053843,0.26533136,-0.35340866,-0.74853647,-101.07061642053843,1.0714406369375546
325172,0.21183272,0.01,-42.08663538369266,5000,0.01,0.01,-101.35189573372095,15,50,0.24310084,0.01,100,-1.4491622,0.01,-0.5210712,65.0344,-100.62342344284953,0.18621393,-0.3538178,-0.7491801,-100.62342344284953,1.15664081824211
