InvPendulum_mu3_higher,InvPendulum_std3_higher,ReturnMean,AvgEpLen,Iteration,BatchSize,NumTrajectories,InvPendulum_std1_higher,NatGradInftyNorm,TimestepsSoFar,InvPendulum_std0_higher,AvgRet,J,InvPendulum_mu2_higher,InvPendulum_mu1_higher,InvPendulum_std2_higher,NatGrad2Norm,StepSize,InvPendulum_mu0_higher,MinEpLen,ReturnMax,ActionIn1,VarJ
-0.059675872,0.01,-112.86298372309297,20.224545454545453,11,100,1100,0.01,0.13292019,22247,0.01,-114.15231529720404,-114.15231529720404,0.40952915,-0.4220995,0.01,0.13838388,0.01,0.80595326,10,-104.18540702438183,0.7269258,0.4291350327574709
-0.059506755,0.01,-112.85106447140271,20.210833333333333,12,100,1200,0.01,0.10742178,24253,0.01,-112.71995270280995,-112.71995270280995,0.40978745,-0.4234287,0.01,0.11510305,0.01,0.8061833,10,-104.18540702438183,0.74384034,0.23667589944966624
-0.060580973,0.01,-112.84909642009974,20.22153846153846,13,100,1300,0.01,0.13471256,26288,0.01,-112.82547980446388,-112.82547980446388,0.40994132,-0.42367375,0.01,0.20824462,0.01,0.805888,10,-104.18540702438183,0.7402188,0.3178673582170691
-0.05967498,0.01,-112.85123850478114,20.213571428571427,14,100,1400,0.01,0.12037039,28299,0.01,-112.8790856056393,-112.8790856056393,0.4085942,-0.4226615,0.01,0.1424741,0.01,0.8067104,10,-104.18540702438183,0.7323882,0.2943736316456457
-0.05898429,0.01,-112.80409497731033,20.186666666666667,15,100,1500,0.01,0.14629336,30280,0.01,-112.14408559271925,-112.14408559271925,0.40739048,-0.422632,0.01,0.21255685,0.01,0.8063894,10,-104.18540702438183,0.74580073,0.24914112655839463
-0.05770097,0.01,-112.80198344393693,20.145625,16,100,1600,0.01,0.2258407,32233,0.01,-112.77031044333594,-112.77031044333594,0.40654075,-0.42253765,0.01,0.23418829,0.01,0.8078523,10,-104.18540702438183,0.73860157,0.2655816576335883
-0.057673242,0.01,-112.87552573218585,20.21235294117647,17,100,1700,0.01,0.1574171,34361,0.01,-114.05220234416863,-114.05220234416863,0.4060012,-0.42479607,0.01,0.23128831,0.01,0.80754876,10,-104.18540702438183,0.72732276,0.3617196623668785
-0.05924741,0.01,-112.84361343520854,20.178333333333335,18,100,1800,0.01,0.22113228,36321,0.01,-112.30110438659398,-112.30110438659398,0.404822,-0.42388523,0.01,0.27400133,0.01,0.80835575,10,-104.18540702438183,0.73209804,0.23629956214174025
-0.05987518,0.01,-112.89729478504259,20.222631578947368,19,100,1900,0.01,0.15387917,38423,0.01,-113.86355908205569,-113.86355908205569,0.406297,-0.4216739,0.01,0.16995741,0.01,0.8085748,10,-104.18540702438183,0.71653914,0.35158755916078754
-0.059622653,0.01,-112.9026262555994,20.212,20,100,2000,0.01,0.06460765,40424,0.01,-113.00392419617903,-113.00392419617903,0.4069021,-0.42321268,0.01,0.114257954,0.01,0.80887604,10,-104.18540702438183,0.7095626,0.28691292825089526
-0.058976576,0.01,-112.91181037858433,20.202857142857145,21,100,2100,0.01,0.2596917,42426,0.01,-113.09549283828274,-113.09549283828274,0.40646294,-0.4225966,0.01,0.34829536,0.01,0.8094379,10,-104.18540702438183,0.72249556,0.27531672950365815
-0.061573494,0.01,-112.90228823546995,20.23090909090909,22,100,2200,0.01,0.38581198,44508,0.01,-112.70232323006792,-112.70232323006792,0.4068157,-0.42213553,0.01,0.39814794,0.01,0.8116851,10,-104.18540702438183,0.75845003,0.29724216671019366
-0.062006768,0.01,-112.93310320006425,20.245652173913044,23,100,2300,0.01,0.11642671,46565,0.01,-113.61103242113893,-113.61103242113893,0.40769458,-0.42599365,0.01,0.13844173,0.01,0.8117685,10,-104.18540702438183,0.71274555,0.33124646159837895
