InvPendulum_std1_higher,NatGradInftyNorm,Iteration,BatchSize,InvPendulum_mu3_higher,ReturnMax,InvPendulum_mu0_higher,VarJ,InvPendulum_mu2_higher,InvPendulum_std0_higher,InvPendulum_mu1_higher,ActionIn1,MinEpLen,AvgEpLen,InvPendulum_std2_higher,NumTrajectories,ReturnMean,NatGrad2Norm,TimestepsSoFar,AvgRet,StepSize,InvPendulum_std3_higher,J
0.01,0.23049036,41,100,-0.40329224,-79.90238630377934,2.4135985,0.06083452108118092,-0.30062813,0.01,1.5457618,3.2918067,10,19.528048780487804,0.01,4100,-111.14145257133136,0.30726573,80065,-107.20237283723186,2.0,0.01,-107.20237283723186
0.01,0.22696312,42,100,0.057688475,-79.90238630377934,2.4589953,0.07027172264457131,-0.5279153,0.01,1.2119575,3.170783,10,19.415714285714287,0.01,4200,-111.05598839390481,0.37365058,81546,-107.55195711941596,2.0,0.01,-107.55195711941596
0.01,0.12397282,43,100,0.07138479,-79.90238630377934,2.9129217,0.08516966267307115,-0.11389059,0.01,0.7867446,3.6364694,10,19.303720930232558,0.01,4300,-110.99069614391499,0.19856723,83006,-108.24842164434304,2.0,0.01,-108.24842164434304
0.01,0.093515985,44,100,0.23092104,-79.90238630377934,3.1460829,0.08885564994253455,0.13405505,0.01,0.9148958,4.4675436,10,19.19931818181818,0.01,4400,-110.92125291560913,0.15960547,84477,-107.93519409845662,2.0,0.01,-107.93519409845662
0.01,0.2596636,45,100,0.19269618,-79.90238630377934,3.3331149,0.0797873124966223,-0.049545646,0.01,1.0930651,4.576508,10,19.102888888888888,0.01,4500,-110.86109805677218,0.38565025,85963,-108.21428426794623,2.0,0.01,-108.21428426794623
0.01,0.07735745,46,100,0.44984257,-79.90238630377934,3.0558212,0.14853423411270353,0.37728888,0.01,0.5737379,4.469448,10,19.033478260869565,0.01,4600,-110.82991253566762,0.12666216,87554,-109.42656408596271,2.0,0.01,-109.42656408596271
0.01,0.11461726,47,100,0.58267015,-79.90238630377934,2.907532,0.17687873245230856,0.3527195,0.01,0.41902304,4.257302,10,18.978510638297873,0.01,4700,-110.81883732156058,0.12053554,89199,-110.30937747263683,2.0,0.01,-110.30937747263683
0.01,0.10679877,48,100,0.649116,-79.90238630377934,3.1367664,0.1555727506788256,0.36038226,0.01,0.45208418,4.661042,10,18.923333333333332,0.01,4800,-110.80984158260421,0.14453435,90832,-110.38704185165442,2.0,0.01,-110.38704185165442
0.01,0.18779318,49,100,0.7731687,-79.90238630377934,3.0090292,0.2142773996443263,0.14678472,0.01,0.37314808,4.2757716,10,18.89081632653061,0.01,4900,-110.82771650687937,0.28382206,92565,-111.68571287208717,2.0,0.01,-111.68571287208717
0.01,0.12166903,50,100,0.5709732,-79.90238630377934,2.6334429,0.1346138328425413,0.463904,0.01,0.5724144,4.251899,10,18.8348,0.01,5000,-110.80653245122156,0.15876798,94174,-109.76851372398819,2.0,0.01,-109.76851372398819
