InvPendulum_mu0_higher,BatchSize,ActionIn1,TimestepsSoFar,InvPendulum_std0_higher,NumTrajectories,InvPendulum_mu1_higher,NatGrad2Norm,Iteration,InvPendulum_std3_higher,MinEpLen,NatGradInftyNorm,VarJ,AvgEpLen,ReturnMean,InvPendulum_std1_higher,InvPendulum_mu3_higher,InvPendulum_std2_higher,StepSize,ReturnMax,AvgRet,J,InvPendulum_mu2_higher
0.8061072,100,0.72879463,28691,0.01,1400,-0.4218835,0.14084207,14,0.01,10,0.11067834,0.30062654267693173,20.49357142857143,-112.95661526588744,0.01,-0.06474002,0.01,0.001,-102.41705085506014,-113.40492012679492,-113.40492012679492,0.4098909
0.8060715,100,0.7429522,30743,0.01,1500,-0.4218757,0.20112523,15,0.01,10,0.13957022,0.3145683645512855,20.495333333333335,-112.9347750252261,0.01,-0.064660944,0.01,0.001,-102.41705085506014,-112.62901165596728,-112.62901165596728,0.4097802
0.8062111,100,0.7339717,32783,0.01,1600,-0.42185575,0.22873886,16,0.01,10,0.21694404,0.3848242511197879,20.489375,-112.91888344842333,0.01,-0.06453765,0.01,0.001,-102.41705085506014,-112.68050979638168,-112.68050979638168,0.4097069
0.8061843,100,0.7254613,34792,0.01,1700,-0.42207268,0.22815858,17,0.01,10,0.15255672,0.3742125099091844,20.465882352941176,-112.94065596963458,0.01,-0.064532176,0.01,0.001,-102.41705085506014,-113.28901630901426,-113.28901630901426,0.40963978
0.8062769,100,0.73118865,36855,0.01,1800,-0.42198467,0.25968245,18,0.01,10,0.20489961,0.3147619607403504,20.475,-112.93493466047181,0.01,-0.064684734,0.01,0.001,-102.41705085506014,-112.8376724047047,-112.8376724047047,0.40952817
0.80630434,100,0.7126803,38874,0.01,1900,-0.42177978,0.18599585,19,0.01,10,0.16682118,0.2714921771825318,20.46,-112.9336660488364,0.01,-0.064737044,0.01,0.001,-102.41705085506014,-112.91083103939944,-112.91083103939944,0.40967637
0.80632293,100,0.70603865,40980,0.01,2000,-0.42194661,0.114687786,20,0.01,10,0.06566338,0.3449297236255199,20.49,-112.91159358571211,0.01,-0.06470872,0.01,0.001,-102.41705085506014,-112.49221678635038,-112.49221678635038,0.40975133
0.80638343,100,0.7177243,42996,0.01,2100,-0.42189035,0.34442508,21,0.01,10,0.2543657,0.2988262411363267,20.474285714285713,-112.92238127580474,0.01,-0.064643055,0.01,0.001,-102.41705085506014,-113.1381350776574,-113.1381350776574,0.40970638
0.80661005,100,0.7532576,45000,0.01,2200,-0.42184916,0.40514207,22,0.01,10,0.3918838,0.44106507087023283,20.454545454545453,-112.91662534960665,0.01,-0.06489742,0.01,0.001,-102.41705085506014,-112.79575089944684,-112.79575089944684,0.40973586
0.8066142,100,0.7105562,47057,0.01,2300,-0.42224103,0.14295462,23,0.01,10,0.121021606,0.23342340845382684,20.459565217391305,-112.93252747846061,0.01,-0.06493238,0.01,0.001,-102.41705085506014,-113.28237431324754,-113.28237431324754,0.40983245
0.80665725,100,0.7564519,49080,0.01,2400,-0.42218277,0.22303723,24,0.01,10,0.15234666,0.2537077640955936,20.45,-112.91731370296101,0.01,-0.06490912,0.01,0.001,-102.41705085506014,-112.56739686647026,-112.56739686647026,0.40995347
0.8065125,100,0.70393115,51085,0.01,2500,-0.42203042,0.4124779,25,0.01,10,0.36327243,0.3142950175124569,20.434,-112.91072389347954,0.01,-0.06485478,0.01,0.001,-102.41705085506014,-112.75256846592427,-112.75256846592427,0.40990224
0.80668473,100,0.72338694,53011,0.01,2600,-0.42201012,0.2476533,26,0.01,10,0.20928189,0.3229235253150392,20.388846153846153,-112.89195622817554,0.01,-0.06476482,0.01,0.001,-102.41705085506014,-112.42276459557576,-112.42276459557576,0.40953898
0.8068064,100,0.7468006,55080,0.01,2700,-0.4222194,0.18715224,27,0.01,10,0.15889195,0.405012792304487,20.4,-112.92413435308266,0.01,-0.064718716,0.01,0.001,-102.41705085506014,-113.76076560066811,-113.76076560066811,0.40951446
0.8066475,100,0.68659514,57097,0.01,2800,-0.42212367,0.18595964,28,0.01,10,0.13892016,0.309887150026386,20.391785714285714,-112.92086733101144,0.01,-0.06469805,0.01,0.001,-102.41705085506014,-112.83265773508792,-112.83265773508792,0.40952823
0.80674434,100,0.7304946,59249,0.01,2900,-0.4221382,0.16800822,29,0.01,10,0.14013714,0.3977632657114021,20.430689655172415,-112.9662083769299,0.01,-0.064559124,0.01,0.001,-102.41705085506014,-114.23575766264774,-114.23575766264774,0.40945277
0.8066955,100,0.74418306,61175,0.01,3000,-0.42227834,0.32959926,30,0.01,10,0.30868644,0.27593612440598764,20.391666666666666,-112.92161097992884,0.01,-0.0646037,0.01,0.001,-102.41705085506014,-111.62828646689769,-111.62828646689769,0.4095177
0.8067125,100,0.7269885,63200,0.01,3100,-0.42217258,0.26942906,31,0.01,10,0.20280449,0.23083265874061795,20.387096774193548,-112.91760286354419,0.01,-0.064295016,0.01,0.001,-102.41705085506014,-112.7973593720037,-112.7973593720037,0.409561
0.8069153,100,0.744186,65266,0.01,3200,-0.42230415,0.11233222,32,0.01,10,0.071729235,0.3390801908514663,20.395625,-112.93386139590388,0.01,-0.064296395,0.01,0.001,-102.41705085506014,-113.43787589905523,-113.43787589905523,0.40967995
0.8069585,100,0.7286189,67412,0.01,3300,-0.422247,0.22805727,33,0.01,10,0.19913928,0.37052273115164985,20.42787878787879,-112.95988306088599,0.01,-0.06434477,0.01,0.001,-102.41705085506014,-113.79257634031305,-113.79257634031305,0.40960822
0.80715764,100,0.7290812,69349,0.01,3400,-0.42228904,0.18147875,34,0.01,10,0.14446425,0.25986131248298233,20.396764705882354,-112.93567907799311,0.01,-0.06424391,0.01,0.001,-102.41705085506014,-112.13694764252794,-112.13694764252794,0.40958786
0.8073021,100,0.72247285,71432,0.01,3500,-0.42232242,0.2566801,35,0.01,10,0.24137266,0.31915758235733316,20.409142857142857,-112.930689396527,0.01,-0.06427473,0.01,0.001,-102.41705085506014,-112.76104022667955,-112.76104022667955,0.40948787
0.80722,100,0.7531572,73446,0.01,3600,-0.42208105,0.15233313,36,0.01,10,0.12558039,0.2856158684097233,20.401666666666667,-112.92408534293426,0.01,-0.06424752,0.01,0.001,-102.41705085506014,-112.69294346718823,-112.69294346718823,0.4094995
0.8071854,100,0.7294478,75473,0.01,3700,-0.42209226,0.28202438,37,0.01,10,0.19787689,0.28509792728937716,20.398108108108108,-112.90734351060513,0.01,-0.06432571,0.01,0.001,-102.41705085506014,-112.30463754675623,-112.30463754675623,0.4093739
0.8073765,100,0.7494044,77593,0.01,3800,-0.42204967,0.20044969,38,0.01,10,0.12953736,0.3541613337716115,20.41921052631579,-112.92015461474736,0.01,-0.06437107,0.01,0.001,-102.41705085506014,-113.39416546800989,-113.39416546800989,0.40917602
0.8072565,100,0.7258462,79667,0.01,3900,-0.4219586,0.1725883,39,0.01,10,0.16202818,0.31008038817399103,20.4274358974359,-112.91280149105896,0.01,-0.064241536,0.01,0.001,-102.41705085506014,-112.63338279090001,-112.63338279090001,0.40914944
0.80728465,100,0.7483461,81729,0.01,4000,-0.42198768,0.1193989,40,0.01,10,0.0754137,0.3298612228497788,20.43225,-112.9171629926686,0.01,-0.06407951,0.01,0.001,-102.41705085506014,-113.08726155544421,-113.08726155544421,0.40919298
0.807349,100,0.68742156,83760,0.01,4100,-0.42206308,0.18933915,41,0.01,10,0.12420841,0.3016489712390156,20.429268292682927,-112.91245880833027,0.01,-0.06414567,0.01,0.001,-102.41705085506014,-112.72429143479795,-112.72429143479795,0.40918595
0.8074132,100,0.73553205,85746,0.01,4200,-0.4221873,0.28974515,42,0.01,10,0.19435523,0.2691043865716519,20.415714285714287,-112.90193815542186,0.01,-0.06418875,0.01,0.001,-102.41705085506014,-112.47059138617664,-112.47059138617664,0.4093061
0.80749047,100,0.6946505,87746,0.01,4300,-0.42199752,0.26202613,43,0.01,10,0.19110031,0.32006255622480545,20.406046511627906,-112.90697524303904,0.01,-0.06425354,0.01,0.001,-102.41705085506014,-113.11853292296068,-113.11853292296068,0.40911177
0.8073161,100,0.74077034,89700,0.01,4400,-0.42180642,0.089804545,44,0.01,10,0.06923881,0.21403768548725158,20.386363636363637,-112.88884235504777,0.01,-0.064285465,0.01,0.001,-102.41705085506014,-112.10912817142294,-112.10912817142294,0.4090849
0.80734825,100,0.72588265,91745,0.01,4500,-0.42187566,0.23442887,45,0.01,10,0.17324334,0.3348818781659291,20.387777777777778,-112.8900440586399,0.01,-0.06433275,0.01,0.001,-102.41705085506014,-112.94291901669409,-112.94291901669409,0.40908304
0.8072448,100,0.7208823,93756,0.01,4600,-0.42176738,0.26969475,46,0.01,10,0.209649,0.30308419332758413,20.381739130434784,-112.88785356904691,0.01,-0.064505994,0.01,0.001,-102.41705085506014,-112.78928153736169,-112.78928153736169,0.40913314
0.807166,100,0.7594239,95885,0.01,4700,-0.42197704,0.2942825,47,0.01,10,0.24394736,0.39842720942991905,20.401063829787233,-112.8992252633574,0.01,-0.06436519,0.01,0.001,-102.41705085506014,-113.42232320163988,-113.42232320163988,0.40918553
0.80740994,100,0.758469,97926,0.01,4800,-0.4220696,0.3115009,48,0.01,10,0.22982942,0.2399780798657406,20.40125,-112.8960333726729,0.01,-0.064340346,0.01,0.001,-102.41705085506014,-112.74601451050135,-112.74601451050135,0.40905172
0.8076398,100,0.75678647,99847,0.01,4900,-0.42201826,0.2019863,49,0.01,10,0.14004314,0.20765556371811894,20.376938775510204,-112.880910083847,0.01,-0.06424294,0.01,0.001,-102.41705085506014,-112.15499222020435,-112.15499222020435,0.4088726
0.8075417,100,0.737881,101952,0.01,5000,-0.42210814,0.22134088,50,0.01,10,0.1612975,0.30645390176247284,20.3904,-112.88594313264625,0.01,-0.0643021,0.01,0.001,-102.41705085506014,-113.13256252380927,-113.13256252380927,0.40901265
