InvPendulum_mu1_higher,MinEpLen,AvgRet,InvPendulum_std3_higher,StepSize,BatchSize,NatGrad2Norm,ReturnMax,InvPendulum_std1_higher,AvgEpLen,NatGradInftyNorm,InvPendulum_mu0_higher,NumTrajectories,TimestepsSoFar,J,ActionIn1,InvPendulum_std0_higher,VarJ,ReturnMean,InvPendulum_mu3_higher,InvPendulum_std2_higher,Iteration,InvPendulum_mu2_higher
-0.37922728,15,-101.68498506605388,0.01,0.1,100,0.15513106,-27.14482516983452,0.01,66.9329268292683,0.11602915,-0.74607325,4100,274425,-101.68498506605388,-1.4480817,0.01,1.3311345073006258,-101.60796940255857,-0.52956283,0.01,41,0.20552349
-0.37299055,15,-102.61731470782637,0.01,0.1,100,0.20800662,-27.14482516983452,0.01,66.96119047619048,0.16524163,-0.7344703,4200,281237,-102.61731470782637,-1.3850002,0.01,1.2521841396060749,-101.63200143363638,-0.5213841,0.01,42,0.20503305
-0.37319145,15,-100.73116284383606,0.01,0.1,100,0.15050814,-27.14482516983452,0.01,66.91720930232559,0.11400205,-0.7459916,4300,287744,-100.73116284383606,-1.3949577,0.01,1.4601555101745824,-101.61105169898984,-0.5162034,0.01,43,0.22155721
-0.3799493,15,-104.02654068635796,0.01,0.1,100,0.07673182,-27.14482516983452,0.01,66.9159090909091,0.050466638,-0.7499386,4400,294430,-104.02654068635796,-1.4058201,0.01,1.4522381997144234,-101.66594917597548,-0.5048032,0.01,44,0.22749987
-0.37704813,15,-103.39979512201133,0.01,0.1,100,0.06743496,-27.14482516983452,0.01,66.84844444444444,0.04903682,-0.74489194,4500,300818,-103.39979512201133,-1.4280437,0.01,1.6387016371121703,-101.7044790858874,-0.4999356,0.01,45,0.22863944
-0.3744972,15,-102.3375740309049,0.01,0.1,100,0.29049727,-27.14482516983452,0.01,66.87847826086957,0.22522557,-0.7446625,4600,307641,-102.3375740309049,-1.3848646,0.01,1.656158895792339,-101.71824201947473,-0.5048393,0.01,46,0.22478344
-0.35197464,15,-100.72163313353563,0.01,0.1,100,0.066836774,-27.14482516983452,0.01,66.83106382978724,0.0530343,-0.7468884,4700,314106,-100.72163313353563,-1.3718665,0.01,1.4660685496336916,-101.69703757509305,-0.52263534,0.01,47,0.22091469
-0.35483772,15,-101.30955044630743,0.01,0.1,100,0.29022628,-27.14482516983452,0.01,66.83791666666667,0.21502544,-0.74541724,4800,320822,-101.30955044630743,-1.4028957,0.01,1.4233966391554866,-101.68896492657667,-0.52512205,0.01,48,0.21561126
-0.37634027,15,-103.50041048318306,0.01,0.1,100,0.3092992,-27.14482516983452,0.01,66.75428571428571,0.28377256,-0.76088554,4900,327096,-103.50041048318306,-1.439436,0.01,1.1003469575865947,-101.72593320324212,-0.5233717,0.01,49,0.20388001
-0.38014844,15,-101.90573041319062,0.01,0.1,100,0.2418968,-27.14482516983452,0.01,66.7828,0.1891133,-0.76414853,5000,333914,-101.90573041319062,-1.4835731,0.01,1.873896290319692,-101.72952914744108,-0.53460747,0.01,50,0.23225726
