InvPendulum_std2_higher,InvPendulum_std1_higher,InvPendulum_std0_higher,TimestepsSoFar,InvPendulum_mu1_higher,InvPendulum_mu2_higher,J,ReturnMean,NatGradInftyNorm,AvgEpLen,NatGrad2Norm,ActionIn1,MinEpLen,StepSize,AvgRet,InvPendulum_mu0_higher,NumTrajectories,BatchSize,Iteration,ReturnMax,VarJ,InvPendulum_mu3_higher,InvPendulum_std3_higher
0.01,0.01,0.01,94293,-0.46900216,-0.10016299,-101.79088484941101,-101.77215141332857,0.045619898,42.860454545454544,0.06431811,-1.7199123,13,0.01,-101.79088484941101,-0.3629504,2200,100,22,-46.65908122768146,0.6530284155205419,-0.8061698,0.01
0.01,0.01,0.01,98376,-0.4689557,-0.10061308,-101.55322715648182,-101.7626329673787,0.10795972,42.77217391304348,0.13680899,-1.7144289,13,0.01,-101.55322715648182,-0.3629791,2300,100,23,-46.65908122768146,0.5333404128369597,-0.8057136,0.01
0.01,0.01,0.01,102873,-0.46842605,-0.10169268,-101.86935434543571,-101.76707969146442,0.20218998,42.86375,0.28884298,-1.7502756,13,0.01,-101.86935434543571,-0.3623615,2400,100,24,-46.65908122768146,0.7159268574137977,-0.8059237,0.01
0.01,0.01,0.01,107086,-0.46640414,-0.09982045,-101.47618845920078,-101.75544404217386,0.10332283,42.8344,0.12038856,-1.7262414,13,0.01,-101.47618845920078,-0.3621304,2500,100,25,-46.65908122768146,0.6432207882304803,-0.80508924,0.01
0.01,0.01,0.01,110972,-0.4670103,-0.099910185,-102.23772557541334,-101.77399333191386,0.08803857,42.68153846153846,0.1363532,-1.7421552,13,0.01,-102.23772557541334,-0.36316362,2600,100,26,-46.65908122768146,0.5203540921747516,-0.80500984,0.01
0.01,0.01,0.01,115344,-0.46768832,-0.09935677,-101.8200800035419,-101.77570024567785,0.20384166,42.72,0.24340716,-1.7368876,13,0.01,-101.8200800035419,-0.36259958,2700,100,27,-46.65908122768146,0.5755867779044519,-0.8041295,0.01
0.01,0.01,0.01,119670,-0.46855032,-0.09948337,-101.7740926465377,-101.77564283142284,0.13052034,42.739285714285714,0.23106974,-1.7602365,13,0.01,-101.7740926465377,-0.36056116,2800,100,28,-46.65908122768146,0.7148577435887298,-0.8051347,0.01
0.01,0.01,0.01,123708,-0.4674948,-0.098483734,-101.35164638086721,-101.7610222641623,0.28663015,42.65793103448276,0.4264709,-1.7494278,13,0.01,-101.35164638086721,-0.36179498,2900,100,29,-46.65908122768146,0.4839891562099025,-0.8038295,0.01
0.01,0.01,0.01,128504,-0.4646285,-0.09939897,-102.10503365007371,-101.77248931035935,0.18559492,42.834666666666664,0.31551543,-1.6972647,13,0.01,-102.10503365007371,-0.3589479,3000,100,30,-46.65908122768146,0.8578815166014351,-0.8028153,0.01
0.01,0.01,0.01,132760,-0.46575668,-0.097552404,-102.08451438212643,-101.78255463525507,0.19313791,42.825806451612905,0.19412819,-1.7403686,13,0.01,-102.08451438212643,-0.36029986,3100,100,31,-46.65908122768146,0.39890293060647475,-0.80095935,0.01
0.01,0.01,0.01,137086,-0.46578574,-0.0974533,-100.85915461991199,-101.7536983847756,0.3449131,42.839375,0.43494406,-1.7132285,13,0.01,-100.85915461991199,-0.36013347,3200,100,32,-41.75718814401961,0.8748641935218946,-0.8028907,0.01
0.01,0.01,0.01,141607,-0.4684164,-0.097734295,-102.07708237572315,-101.7634978996528,0.068280436,42.911212121212124,0.07780252,-1.7379117,13,0.01,-102.07708237572315,-0.35668433,3300,100,33,-41.75718814401961,0.6630781198722954,-0.80274296,0.01
0.01,0.01,0.01,145962,-0.46807238,-0.09773485,-102.15586055569362,-101.77503797777165,0.14259222,42.93,0.25038403,-1.7256883,13,0.01,-102.15586055569362,-0.35682842,3400,100,34,-41.75718814401961,0.6581467122956174,-0.8034258,0.01
0.01,0.01,0.01,150469,-0.467606,-0.09916067,-99.39614670516914,-101.7070696556973,0.10760004,42.991142857142854,0.17888255,-1.7445809,13,0.01,-99.39614670516914,-0.3582375,3500,100,35,-41.75718814401961,1.0140936009479697,-0.80199987,0.01
0.01,0.01,0.01,154757,-0.46653,-0.10016188,-101.72819524419657,-101.70765647760004,0.15385853,42.988055555555555,0.17145503,-1.725681,12,0.01,-101.72819524419657,-0.35762045,3600,100,36,-41.75718814401961,0.7068419461570977,-0.8011881,0.01
0.01,0.01,0.01,158973,-0.46587572,-0.09993992,-101.0526426553484,-101.68995340132297,0.18570992,42.965675675675676,0.2572077,-1.7390549,12,0.01,-101.0526426553484,-0.35608187,3700,100,37,-41.75718814401961,0.4318814140004713,-0.8008798,0.01
