AvgEpLen,AvgRet,ReturnMean,MinEpLen,ReturnMax,InvPendulum_mu0_higher,TimestepsSoFar,J,StepSize,InvPendulum_std1_higher,NumTrajectories,NatGrad2Norm,NatGradInftyNorm,BatchSize,ActionIn1,InvPendulum_mu1_higher,InvPendulum_mu3_higher,InvPendulum_mu2_higher,Iteration,VarJ,InvPendulum_std3_higher,InvPendulum_std0_higher,InvPendulum_std2_higher
20.799375,-106.29574746598539,-110.96007606248098,10,-52.71970163522355,-1.632851,66558,-106.29574746598539,2.0,0.01,3200,0.33635145,0.26564384,100,-3.4501166,-0.14787835,-1.0698872,-0.5860613,32,0.2139092672745923,0.01,0.01,0.01
20.923939393939396,-107.91478859237111,-110.8677946239928,10,-52.71970163522355,-1.5921143,69049,-107.91478859237111,2.0,0.01,3300,0.1636012,0.13719161,100,-2.544618,0.2588524,-0.5385995,-0.6423928,33,0.16099950918181416,0.01,0.01,0.01
21.515588235294118,-106.26201714583793,-110.73233058051765,10,-52.71970163522355,-1.8664975,73153,-106.26201714583793,2.0,0.01,3400,0.2180984,0.14333592,100,-2.7592049,0.21225932,-0.6145752,-0.48801655,34,0.4807177192416735,0.01,0.01,0.01
23.15342857142857,-103.73514966653391,-110.53241112583238,10,-52.71970163522355,-1.7344995,81037,-103.73514966653391,2.0,0.01,3500,0.2040028,0.1912722,100,-2.3627853,-0.0013399422,-0.32790336,-0.27579314,35,0.7918107017670571,0.01,0.01,0.01
23.3275,-110.4702657643385,-110.53068486579089,10,-52.71970163522355,-1.8735926,83979,-110.4702657643385,2.0,0.01,3600,0.27486658,0.22679153,100,-2.071291,0.38120446,-0.302077,-0.2650955,36,0.5812559143530494,0.01,0.01,0.01
23.234594594594594,-110.20760481116773,-110.52195297242271,10,-52.71970163522355,-1.889365,85968,-110.20760481116773,2.0,0.01,3700,0.23203067,0.15926415,100,-1.9440439,0.36624447,0.15150607,-0.5749284,37,0.3316711812280941,0.01,0.01,0.01
23.196315789473683,-111.67059666793025,-110.55218043809396,10,-52.71970163522355,-2.2072315,88146,-111.67059666793025,2.0,0.01,3800,0.3196146,0.2793617,100,-1.9751624,0.40182418,0.47003436,-0.6825743,38,0.45553756762838354,0.01,0.01,0.01
29.611538461538462,-216.44146745711413,-113.26729036165858,10,-52.71970163522355,-2.3187788,115485,-216.44146745711413,2.0,0.01,3900,0.2662498,0.19829012,100,-2.3561409,-0.15689921,0.5260637,-0.39821526,39,55.92196301452418,0.01,0.01,0.01
41.37125,-120.75842443380945,-113.45456871346235,10,-52.71970163522355,-2.44653,165485,-120.75842443380945,2.0,0.01,4000,0.11232687,0.092906,100,-3.3144472,-0.55347943,0.37833142,-0.6950902,40,2.107554630020175,0.01,0.01,0.01
52.55731707317073,-97.89481451843267,-113.07506251358357,10,-52.71970163522355,-2.5064137,215485,-97.89481451843267,2.0,0.01,4100,0.18565026,0.12606876,100,-3.654877,-0.7392914,0.2676587,-0.70551616,41,2.3652686753626027,0.01,0.01,0.01
63.21071428571429,-92.23447947520164,-112.57885815552687,10,-43.11007579254591,-2.7585511,265485,-92.23447947520164,2.0,0.01,4200,0.21600911,0.18433423,100,-3.478378,-0.59709084,0.34339535,-0.48566687,42,4.5614060257981475,0.01,0.01,0.01
68.7939534883721,-157.05428551840842,-113.61317041977993,10,-43.11007579254591,-2.8781748,295814,-157.05428551840842,2.0,0.01,4300,0.2648017,0.1621624,100,-3.6770222,-0.4640538,0.48019668,-0.8543353,43,9.837266398183713,0.01,0.01,0.01
73.87886363636363,-227.2953974701917,-116.19685739819836,10,-43.11007579254591,-2.7545123,325067,-227.2953974701917,2.0,0.01,4400,0.39904046,0.3568685,100,-2.696491,-0.15885544,0.7387595,-0.5300105,44,54.4021635162271,0.01,0.01,0.01
73.15066666666667,-121.42533895823843,-116.31304587731039,10,-43.11007579254591,-2.8794856,329178,-121.42533895823843,2.0,0.01,4500,0.20665562,0.18481666,100,-2.3570871,0.5548816,0.4253599,-0.41307038,45,1.2509361450272143,0.01,0.01,0.01
72.12434782608696,-113.71000188537975,-116.25645796444232,10,-43.11007579254591,-2.7469904,331772,-113.71000188537975,2.0,0.01,4600,0.17801939,0.14877221,100,-2.5378761,0.4689693,0.52159667,-0.7827037,46,0.779475722936022,0.01,0.01,0.01
71.56702127659574,-128.66258289656716,-116.52041806938114,10,-43.11007579254591,-2.7775545,336365,-128.66258289656716,2.0,0.01,4700,0.24911214,0.19102645,100,-2.292084,0.3399002,0.6652558,-0.48515928,47,1.0087789262569167,0.01,0.01,0.01
70.48979166666666,-110.68357531593843,-116.39881717868442,10,-43.11007579254591,-2.5336416,338351,-110.68357531593843,2.0,0.01,4800,0.1512713,0.13393134,100,-1.8553263,0.7219531,0.59961,-0.68127173,48,0.48656522524824164,0.01,0.01,0.01
69.41061224489796,-108.70269279343103,-116.2417534157201,10,-43.11007579254591,-2.6267712,340112,-108.70269279343103,2.0,0.01,4900,0.17877525,0.123211026,100,-1.8451538,0.9898158,0.56170577,-0.7796168,49,0.1629226384289446,0.01,0.01,0.01
68.355,-107.81208718114748,-116.0731600910286,10,-43.11007579254591,-2.8258364,341775,-107.81208718114748,2.0,0.01,5000,0.24884026,0.15390177,100,-1.834166,1.2362378,0.6711339,-0.9041844,50,0.09987711569502723,0.01,0.01,0.01
