MountainCar_mu1_higher,VarJ,TimestepsSoFar,AvgRet,MountainCar_mu0_higher,ActionIn1,MountainCar_std1_higher,MinEpLen,NatGrad2Norm,BatchSize,AvgEpLen,ReturnMax,Iteration,StepSize,MountainCar_std0_higher,NatGradInftyNorm,ReturnMean,NumTrajectories,J
-1.1289475,4.0367628885476066e-05,50000,-0.2676117385970166,-0.018070161,1.6785921,1.5,500,0.0018626666,100,500.0,-1.8591079846184218e-06,20,1.0,0.14999999,0.0015080577,-0.06521784246519631,2000,-0.0532486359864082
-1.1278542,8.202975893301223e-05,50000,-0.34641638809710956,-0.016562104,-4.173784,1.5,500,0.007886731,100,500.0,-1.8591079846184218e-06,21,1.0,0.14999999,0.007866076,-0.06539661875932784,2100,-0.0689721446419582
-1.1272838,7.423806981267405e-05,50000,-0.3079297499895358,-0.008696028,-0.18352343,1.5,500,0.0018738235,100,500.0,-1.8591079846184218e-06,22,1.0,0.14999999,0.0016521055,-0.065190354522922,2200,-0.06085880555839936
-1.1256317,6.396694877143298e-05,50000,-0.330451296002037,-0.007811855,1.7039981,1.5,500,0.0063638883,100,500.0,-1.8591079846184218e-06,23,1.0,0.14999999,0.0060433308,-0.06520317709362307,2300,-0.06548527364904724
-1.1195884,9.487578305580289e-05,50000,-0.29720998229436796,-0.0058175563,0.020448029,1.5,500,0.022419734,100,500.0,-1.8591079846184218e-06,24,1.0,0.14999999,0.02241025,-0.06494110546175838,2400,-0.05891345792887025
-1.1419986,7.041448697574426e-05,50000,-0.3073934037764956,-0.006469648,-1.3161939,1.5,500,0.00992831,100,500.0,-3.5391890194767276e-07,25,1.0,0.14999999,0.0093117235,-0.06476670822262125,2500,-0.06058117448332992
-1.1513103,4.110655259813466e-05,50000,-0.28039116237703526,-0.009913939,-1.7268876,1.5,500,0.012772687,100,500.0,-3.5391890194767276e-07,26,1.0,0.14999999,0.012683575,-0.06441375816704041,2600,-0.055590006777519685
-1.163994,4.476403877374806e-05,50000,-0.28069051425943087,-0.008407801,-0.9015581,1.5,500,0.022493687,100,500.0,-3.5391890194767276e-07,27,1.0,0.14999999,0.022459162,-0.06408486526124778,2700,-0.05553364971063925
-1.1415348,5.24652021049074e-05,50000,-0.2817216583923875,-0.00716203,0.47488207,1.5,500,0.0062601944,100,500.0,-3.5391890194767276e-07,28,1.0,0.14999999,0.0061895964,-0.06378527000064096,2800,-0.0556961979642569
-1.1353452,7.530260716627902e-05,50000,-0.30989589111347215,-0.0062245172,-1.1305418,1.5,500,0.056279514,100,500.0,-3.5391890194767276e-07,29,1.0,0.14999999,0.056229133,-0.06370128533265697,2900,-0.06134971462910526
-1.1915743,6.0703127871195584e-05,50000,-0.28759395910191465,-0.00860532,-0.39361674,1.5,500,0.019732304,100,500.0,-3.5391890194767276e-07,30,1.0,0.14999999,0.019176684,-0.06346488647464912,3000,-0.05660931959242119
-1.210751,6.184764831335528e-05,50000,-0.2935972804405979,-0.013254897,-3.1680725,1.5,500,0.009226043,100,500.0,-3.5391890194767276e-07,31,1.0,0.14999999,0.0091945175,-0.06329088089277866,3100,-0.0580707134366649
-1.2199455,9.938032971430691e-05,50000,-0.34807200071314154,-0.012492849,-1.8716638,1.5,500,0.014462978,100,500.0,-3.5391890194767276e-07,32,1.0,0.14999999,0.011918028,-0.06346060642019793,3200,-0.06872209777019551
-1.2318636,6.0936159398597126e-05,50000,-0.32135012033647564,-0.020686649,0.8326483,1.5,500,0.0049647177,100,500.0,-3.5391890194767276e-07,33,1.0,0.14999999,0.0038619242,-0.06346672820935953,3300,-0.06366262546253033
-1.2287437,8.412130123082211e-05,50000,-0.2849699162617066,-0.016824724,1.1870962,1.5,500,0.0064977678,100,500.0,-3.5391890194767276e-07,34,1.0,0.14999999,0.0064973873,-0.06325746330540048,3400,-0.05635172147475192
-1.2286733,0.00015072456908029634,50000,-0.3319172297477097,-0.023322111,-3.429213,1.5,500,0.0059903134,100,500.0,-3.5391890194767276e-07,35,1.0,0.14999999,0.0042825653,-0.06332854215266975,3500,-0.06574522295982503
-1.2329559,4.947325680622927e-05,50000,-0.254963067852033,-0.027510606,0.018185213,1.5,500,0.022159947,100,500.0,-3.5391890194767276e-07,36,1.0,0.14999999,0.022101069,-0.06296913872005751,3600,-0.050390018578629195
-1.255057,5.709964076382329e-05,50000,-0.2614963487889095,-0.025896283,-4.010005,1.5,500,0.0010668787,100,500.0,-3.5391890194767276e-07,37,1.0,0.14999999,0.0008245357,-0.06266699467432968,3700,-0.05178980902812807
-1.2558815,0.00019030201933513302,50000,-0.3707264271339107,-0.026573313,-0.5552095,1.5,500,0.015336756,100,500.0,-3.5391890194767276e-07,38,1.0,0.14999999,0.015253897,-0.06294940944580737,3800,-0.07339875599048203
-1.2711354,8.317592444428359e-05,50000,-0.3260955536525806,-0.028165385,-1.2453415,1.5,500,0.03273144,100,500.0,-3.5391890194767276e-07,39,1.0,0.14999999,0.03259197,-0.06298903767385627,3900,-0.06449491033971443
-1.2385435,9.676258574505797e-05,50000,-0.3342804456579986,-0.02514696,1.1406511,1.5,500,0.018701855,100,500.0,-3.5391890194767276e-07,40,1.0,0.14999999,0.018093063,-0.06306435270691403,4000,-0.06600163899616625
-1.2204504,0.00011966207659995372,50000,-0.41909109403297534,-0.029879868,-2.5557032,1.5,500,0.04178609,100,500.0,-3.5391890194767276e-07,41,1.0,0.14999999,0.040575914,-0.06354472472054867,4100,-0.08275960526593439
-1.2610263,8.306918663472413e-05,50000,-0.31578351087220047,-0.03986348,-1.5675386,1.5,500,0.0074372636,100,500.0,-3.5391890194767276e-07,42,1.0,0.14999999,0.0067870268,-0.06352407646206601,4200,-0.06267749786427665
-1.2678133,7.14918094166287e-05,50000,-0.34426402397516354,-0.036822237,-3.515148,1.5,500,0.0010831646,100,500.0,-3.5391890194767276e-07,43,1.0,0.14999999,0.0010707788,-0.06363201193818417,4300,-0.0681653019351468
-1.2679766,7.072365560414895e-05,50000,-0.3418136524702696,-0.037893016,1.1918226,1.5,500,0.012412405,100,500.0,-3.5391890194767276e-07,44,1.0,0.14999999,0.012409871,-0.06372429461740906,4400,-0.06769244982407897
-1.2803866,5.403809384283914e-05,50000,-0.2475715337793088,-0.03764225,-2.2315993,1.5,500,0.018194376,100,500.0,-3.5391890194767276e-07,45,1.0,0.14999999,0.01816007,-0.06340286966779819,4500,-0.049260171884920545
-1.2622265,0.00013439027190301214,50000,-0.3698165870364396,-0.036525477,-1.3729296,1.5,500,0.036682665,100,500.0,-3.5391890194767276e-07,46,1.0,0.14999999,0.035648677,-0.06361982178611457,4600,-0.07338266711035173
-1.2978752,0.00011786927874684933,50000,-0.4182683066509032,-0.027877364,-0.27000406,1.5,500,0.0053144046,100,500.0,-3.5391890194767276e-07,47,1.0,0.14999999,0.005245689,-0.06403282674754097,4700,-0.08303105497315576
-1.2926295,0.00011396799891442117,50000,-0.36696514630909627,-0.027025515,-3.6998038,1.5,500,0.014587168,100,500.0,-3.5391890194767276e-07,48,1.0,0.14999999,0.014582092,-0.06420649199498774,4800,-0.07236875862498547
-1.2780474,3.747758150663066e-05,50000,-0.25373398412169523,-0.027410293,0.6904565,1.5,500,0.023836866,100,500.0,-3.5391890194767276e-07,49,1.0,0.14999999,0.02383537,-0.06392594410346215,4900,-0.05045964531023395
-1.3018829,0.00013871263951809634,50000,-0.37088323300395765,-0.027143309,-1.3249617,1.5,500,0.04538214,100,500.0,-3.5391890194767276e-07,50,1.0,0.14999999,0.044743076,-0.06411743482411321,5000,-0.07350048013601496
