MountainCar_mu0_higher,ReturnMean,MinEpLen,Iteration,AvgEpLen,NumTrajectories,J,MountainCar_std0_higher,VarJ,TimestepsSoFar,NatGrad2Norm,ActionIn1,NatGradInftyNorm,MountainCar_std1_higher,BatchSize,MountainCar_mu1_higher,ReturnMax,StepSize,AvgRet
-0.7920779,-1.335143087874231,500,16,500.0,1600,-1.3681178247691628,0.14999999,0.002170076307554391,50000,0.1951598,-2.160077,0.17018579,1.5,100,0.6087684,0.15516782134367357,0.001,-6.953966848096712
-0.79198235,-1.3311976671840058,500,17,500.0,1700,-1.2680709361404026,0.14999999,0.0018979134039233787,50000,0.042689864,-2.3147023,0.04266653,1.5,100,0.60859823,0.15516782134367357,0.001,-6.427317004768665
-0.7919397,-1.3311271105010474,500,18,500.0,1800,-1.3299276468907615,0.14999999,0.0013715277868325952,50000,0.08604033,-1.4716204,0.06545147,1.5,100,0.6085968,0.15516782134367357,0.001,-6.743137670524192
-0.7918838,-1.330115988289097,500,19,500.0,1900,-1.3119157884739814,0.14999999,0.001680696717791945,50000,0.2663251,1.1763967,0.26013985,1.5,100,0.60853136,0.15516782134367357,0.001,-6.669507296953213
-0.7918268,-1.3319855001803775,500,20,500.0,2000,-1.3675062261147122,0.14999999,0.0019414473296933135,50000,0.08995961,-0.68108714,0.089709476,1.5,100,0.60827124,0.15516782134367357,0.001,-6.943412626384713
-0.7917371,-1.3294583823113135,471,21,499.71,2100,-1.278916024930033,0.14999999,0.0017907469249850143,49971,0.08581921,0.46492875,0.070075326,1.5,100,0.6082779,0.15516782134367357,0.001,-5.525486551039703
-0.79168755,-1.3293490540450954,500,22,500.0,2200,-1.3270531604545142,0.14999999,0.0020435172858904,50000,0.34242487,-0.36236116,0.333406,1.5,100,0.608348,0.15516782134367357,0.001,-6.697532322587827
-0.79160947,-1.3289696690615425,500,23,500.0,2300,-1.3206231994233817,0.14999999,0.0020621599282629535,50000,0.20023978,3.336538,0.1875833,1.5,100,0.60868144,0.15516782134367357,0.001,-6.698315392842529
-0.79153943,-1.3276808714496626,500,24,500.0,2400,-1.2980385263764194,0.14999999,0.002008306413284254,50000,0.14550857,-0.3497636,0.13248944,1.5,100,0.60849386,0.15516782134367357,0.001,-6.600841623981279
-0.7914793,-1.3270204774167698,500,25,500.0,2500,-1.3111710206273441,0.14999999,0.0016091024188299855,50000,0.38021857,1.3075548,0.3758731,1.5,100,0.60836136,0.15516782134367357,0.001,-6.625650792033493
-0.79142195,-1.3270761009329635,500,26,500.0,2600,-1.328466688837809,0.14999999,0.0021170686803246535,50000,0.30977926,-1.7430279,0.29986688,1.5,100,0.60873723,0.15516782134367357,0.001,-6.7363171982591075
-0.7913442,-1.325397950575678,500,27,500.0,2700,-1.2817660412862548,0.14999999,0.001962006752766461,50000,0.067687824,-0.7801527,0.05446721,1.5,100,0.60843736,0.15516782134367357,0.001,-6.480429051888438
-0.79128975,-1.3252449226787986,500,28,500.0,2800,-1.3211131694630547,0.14999999,0.0022443769978189193,50000,0.20629928,-0.49278858,0.19056876,1.5,100,0.60847753,0.15516782134367357,0.001,-6.6884121884448415
-0.7912107,-1.3253564439269632,500,29,500.0,2900,-1.3284790388755712,0.14999999,0.0018110277085962383,50000,0.10364262,-0.6188412,0.079012275,1.5,100,0.608287,0.15516782134367357,0.001,-6.743177927515696
-0.79114366,-1.3238464619890602,500,30,500.0,3000,-1.28005698578987,0.14999999,0.0017750265503137367,50000,0.45820373,-1.2294168,0.45580307,1.5,100,0.60820794,0.15516782134367357,0.001,-6.478651394457156
-0.7910968,-1.3232286633964339,500,31,500.0,3100,-1.304694705617652,0.14999999,0.001695467485632935,50000,0.05775328,0.7326604,0.05774008,1.5,100,0.60866374,0.15516782134367357,0.001,-6.602716103304266
-0.79103905,-1.3224882501889197,500,32,500.0,3200,-1.2995354407559807,0.14999999,0.001846168710442678,50000,0.0889335,0.24265194,0.069512814,1.5,100,0.6086625,0.15516782134367357,0.001,-6.585594122412649
-0.79098356,-1.3201775748585598,485,33,499.85,3300,-1.2462359642870418,0.14999999,0.002075995458311048,49985,0.45871067,-0.5813906,0.45681733,1.5,100,0.608593,0.15516782134367357,0.001,-5.371300504121458
-0.7909419,-1.318915560155816,500,34,500.0,3400,-1.2772690749652704,0.14999999,0.0016290247993634604,50000,0.14091395,0.72072285,0.13471127,1.5,100,0.6081362,0.15516782134367357,0.001,-6.467405355786301
-0.7909005,-1.3177493239611644,500,35,500.0,3500,-1.2780972933430106,0.14999999,0.001703733385849166,50000,0.13855898,-2.6736987,0.13091557,1.5,100,0.6080015,0.15516782134367357,0.001,-6.473519282848208
-0.79085517,-1.3181001178906653,500,36,500.0,3600,-1.330377905423187,0.14999999,0.0018310343650029914,50000,0.24201867,-0.18518817,0.23181145,1.5,100,0.60813236,0.15516782134367357,0.001,-6.744561137276455
-0.7907856,-1.3184680421550568,500,37,500.0,3700,-1.331713315673152,0.14999999,0.002520767317310606,50000,0.1363956,-2.636055,0.10101669,1.5,100,0.60790056,0.15516782134367357,0.001,-6.744991488906992
-0.79069394,-1.3166442220724148,500,38,500.0,3800,-1.2491628790146667,0.14999999,0.0019122797880095244,50000,0.15125579,2.4858363,0.14614718,1.5,100,0.6080016,0.15516782134367357,0.001,-6.325586701846654
-0.79065496,-1.3141981452743074,500,39,500.0,3900,-1.2212472269462264,0.14999999,0.0017912291386760048,50000,0.06043697,0.598335,0.05504916,1.5,100,0.60814774,0.15516782134367357,0.001,-6.1750640249795525
-0.79063004,-1.3113722063531494,500,40,500.0,4000,-1.2011605884279897,0.14999999,0.0012898665999371678,50000,0.008568804,0.4506896,0.008486071,1.5,100,0.6082028,0.15516782134367357,0.001,-6.087452332433215
-0.79062885,-1.311718358183879,500,41,500.0,4100,-1.3255644314130532,0.14999999,0.00172007618181471,50000,0.08024576,-0.693872,0.064166605,1.5,100,0.60819435,0.15516782134367357,0.001,-6.7285400357484715
-0.79056466,-1.3128448478662065,500,42,500.0,4200,-1.3590309248416423,0.14999999,0.0015138652140741415,50000,0.12866867,-0.24080056,0.10253584,1.5,100,0.6081462,0.15516782134367357,0.001,-6.878164203985103
-0.79048693,-1.3131064312402732,500,43,500.0,4300,-1.3240929329510687,0.14999999,0.0017370807393234944,50000,0.07930339,-1.7137387,0.06675501,1.5,100,0.6082487,0.15516782134367357,0.001,-6.7047162076938935
-0.7904202,-1.312508523847368,406,44,499.06,4400,-1.2867985059524534,0.14999999,0.001826967288064576,49906,0.1493773,-1.9059999,0.13899703,1.5,100,0.6082915,0.15516782134367357,0.001,-5.593570280265655
-0.79036546,-1.3137346871330717,500,45,500.0,4500,-1.367685871704028,0.14999999,0.001765089761416223,50000,0.090962455,2.8461993,0.0908379,1.5,100,0.6081525,0.15516782134367357,0.001,-6.92715062415234
-0.7902746,-1.3135080294779256,500,46,500.0,4600,-1.30330843499635,0.14999999,0.0021606994842918014,50000,0.072406545,0.3725927,0.07070872,1.5,100,0.60814774,0.15516782134367357,0.001,-6.599538106801917
-0.7902039,-1.3128662336226218,500,47,500.0,4700,-1.2833436242786453,0.14999999,0.001792397025263451,50000,0.20809862,-0.5585221,0.20196621,1.5,100,0.60816336,0.15516782134367357,0.001,-6.506792066637038
-0.7901538,-1.3120786696590978,500,48,500.0,4800,-1.2750631633734781,0.14999999,0.0014757073787982824,50000,0.037812036,-0.32877705,0.036083937,1.5,100,0.6079614,0.15516782134367357,0.001,-6.459567126514335
-0.79011774,-1.3122624809753796,500,49,500.0,4900,-1.3210854241568954,0.14999999,0.0016227616549013767,50000,0.06512573,0.44459188,0.06440612,1.5,100,0.60797274,0.15516782134367357,0.001,-6.688050090547123
-0.7900533,-1.3126144351783224,487,50,499.87,5000,-1.3298601911225307,0.14999999,0.001381866359552867,49987,0.16147797,-3.0359857,0.14905326,1.5,100,0.6079824,0.15516782134367357,0.001,-5.784813432831568
