MountainCar_mu0_higher,MountainCar_std1_higher,J,VarJ,MountainCar_mu1_higher,StepSize,NumTrajectories,MinEpLen,Iteration,ReturnMax,BatchSize,ReturnMean,TimestepsSoFar,AvgRet,AvgEpLen,NatGradInftyNorm,NatGrad2Norm,MountainCar_std0_higher,ActionIn1
-0.34913447,1.5,-0.3079610388771016,0.0005065654965899969,-0.85906625,0.1,2400,500,24,-1.3854467718804374e-05,100,-0.41189450045629933,50000,-1.5525163002634355,500.0,0.02632302,0.026337715,0.14999999,-1.1146005
-0.34650218,1.5,-0.32435625106212607,0.0006748402964666646,-0.8589783,0.1,2500,500,25,-1.3854467718804374e-05,100,-0.4083929704805324,50000,-1.6310519301472473,500.0,0.038553737,0.039208595,0.14999999,-2.7597003
-0.3426468,1.5,-0.329263493141912,0.0005726186292621847,-0.8582647,0.1,2600,500,26,-1.3854467718804374e-05,100,-0.4053495290444315,50000,-1.6585355204311947,500.0,0.036156036,0.045834158,0.14999999,-0.87338215
-0.3390312,1.5,-0.33705114918112583,0.0006173737126081482,-0.8610816,0.1,2700,500,27,-1.3854467718804374e-05,100,-0.4028199594198647,50000,-1.6987795287644958,500.0,0.052679807,0.06682194,0.14999999,-1.6181023
-0.33492023,1.5,-0.33755722909584035,0.0007249861676684043,-0.8558136,0.1,2800,500,28,-1.3854467718804374e-05,100,-0.40048914762257815,50000,-1.6997158636815544,500.0,0.046441015,0.053116344,0.14999999,-1.3973293
-0.33027613,1.5,-0.2988876973461026,0.0004479483713882512,-0.85323566,0.1,2900,500,29,-1.3854467718804374e-05,100,-0.3969856493371824,50000,-1.5044461497135921,500.0,0.028457003,0.028648863,0.14999999,-1.6057594
-0.32743043,1.5,-0.3117546028475531,0.00048155750784538773,-0.8529047,0.1,3000,500,30,-1.3854467718804374e-05,100,-0.3941446144541948,50000,-1.5712234845118647,500.0,0.103004836,0.108619474,0.14999999,-0.11431289
-0.3239834,1.5,-0.3174558463642827,0.0004402477236333962,-0.86320513,0.1,3100,500,31,-1.3854467718804374e-05,100,-0.39167078322548793,50000,-1.6008997973906032,500.0,0.03395183,0.04402122,0.14999999,-1.3559347
-0.32058823,1.5,-0.2761101503072613,0.00042397349862237957,-0.8604031,0.1,3200,500,32,-1.3854467718804374e-05,100,-0.38805951344679335,50000,-1.3891200953285228,500.0,0.078941196,0.083090365,0.14999999,-2.2242272
-0.31799537,1.5,-0.30819278305667164,0.000489916468264223,-0.8682972,0.1,3300,500,33,-1.3854467718804374e-05,100,-0.38563930949557756,50000,-1.552331620421124,500.0,0.035611343,0.04650469,0.14999999,-1.4554614
-0.31443423,1.5,-0.2558434738105768,0.0004599568437353595,-0.8653064,0.1,3400,500,34,-1.3854467718804374e-05,100,-0.38182178491660695,50000,-1.2884214416121507,500.0,0.060399324,0.065726615,0.14999999,0.76782346
-0.3118421,1.5,-0.3042722632696939,0.0005672058484371739,-0.85926646,0.1,3500,500,35,-1.3854467718804374e-05,100,-0.37960608429812376,50000,-1.5307769363780028,500.0,0.04071309,0.045713615,0.14999999,-3.439917
-0.30777082,1.5,-0.28946658165435823,0.0005487865146435902,-0.85718757,0.1,3600,500,36,-1.3854467718804374e-05,100,-0.3771022092246858,50000,-1.4580666186706486,500.0,0.0384525,0.038513973,0.14999999,-0.49316657
-0.30392557,1.5,-0.2246274832419642,0.00045085105202659104,-0.8569701,0.1,3700,500,37,-1.3854467718804374e-05,100,-0.37298127068461223,50000,-1.1301344130503674,500.0,0.022632806,0.029919868,0.14999999,-0.9491292
-0.3016623,1.5,-0.2665120417668972,0.00047300789617112077,-0.858927,0.1,3800,500,38,-1.3854467718804374e-05,100,-0.3701794488709881,50000,-1.3415025159437592,500.0,0.07529443,0.081484385,0.14999999,-3.3100884
-0.2985471,1.5,-0.2869267011051491,0.0004949003884263448,-0.86645645,0.1,3900,500,39,-1.3854467718804374e-05,100,-0.36804476303083844,50000,-1.4446727995737947,500.0,0.044696923,0.05782598,0.14999999,-2.3518455
-0.29487827,1.5,-0.28443439517076885,0.00047374624962562875,-0.86198676,0.1,4000,500,40,-1.6236659936705924e-06,100,-0.36595450383433664,50000,-1.4327910474046828,500.0,0.03811638,0.053585917,0.14999999,-2.6271167
-0.29111186,1.5,-0.27174263703339696,0.000454586643246584,-0.8581751,0.1,4100,500,41,-1.6236659936705924e-06,100,-0.3636566534245576,50000,-1.3696626144806947,500.0,0.05844692,0.067765296,0.14999999,-0.48241612
-0.28768244,1.5,-0.21737596136662113,0.00032006182095871904,-0.8640198,0.1,4200,500,42,-1.6236659936705924e-06,100,-0.3601737798041306,50000,-1.0941815178251233,500.0,0.07666848,0.07913193,0.14999999,-0.7712246
-0.28572336,1.5,-0.21763305038361797,0.0004451640845721988,-0.856353,0.1,4300,500,43,-1.6236659936705924e-06,100,-0.35685887911993264,50000,-1.0981198088022541,500.0,0.029272355,0.038943782,0.14999999,-0.72933686
-0.28315482,1.5,-0.2666423912844998,0.000665080838430839,-0.8592802,0.1,4400,500,44,-1.6236659936705924e-06,100,-0.35480850439640005,50000,-1.341753086295666,500.0,0.12823431,0.13573715,0.14999999,-0.5652555
-0.2787045,1.5,-0.22775526587398584,0.0003969748604994724,-0.8464568,0.1,4500,500,45,-1.6236659936705924e-06,100,-0.35198509909590203,50000,-1.1480754602925838,500.0,0.032964014,0.042403676,0.14999999,-3.2170136
-0.2760372,1.5,-0.20944398568721248,0.00039591594360551484,-0.84316045,0.1,4600,500,46,-1.6236659936705924e-06,100,-0.3488863792391913,50000,-1.054640806174966,500.0,0.080995955,0.08439418,0.14999999,0.13852823
-0.27366647,1.5,-0.23310354009324336,0.0003812610180751151,-0.83506083,0.1,4700,500,47,-1.6236659936705924e-06,100,-0.34642291457651164,50000,-1.1717636076668956,500.0,0.028233284,0.028324027,0.14999999,-3.976917
-0.27084315,1.5,-0.2375696148798702,0.0003558854855579301,-0.8348343,0.1,4800,500,48,-1.6236659936705924e-06,100,-0.3441551374994983,50000,-1.1979115290284672,500.0,0.060586542,0.06721405,0.14999999,-4.37062
-0.26793283,1.5,-0.19595819780828053,0.0002653588060414327,-0.82877564,0.1,4900,500,49,-1.6236659936705924e-06,100,-0.34113071015886115,50000,-0.9867638984935947,500.0,0.054577623,0.05738966,0.14999999,-3.015449
-0.2661584,1.5,-0.23146951450797348,0.0003215977734546404,-0.8342334,0.1,5000,500,50,-1.6236659936705924e-06,100,-0.3389374862458434,50000,-1.1647858677674003,500.0,0.053208265,0.05963693,0.14999999,-0.38006502
