J,NatGradInftyNorm,MountainCar_mu0_higher,MountainCar_std1_higher,VarJ,MinEpLen,AvgRet,ReturnMax,ReturnMean,Iteration,NumTrajectories,AvgEpLen,MountainCar_std0_higher,TimestepsSoFar,MountainCar_mu1_higher,StepSize,ActionIn1,BatchSize,NatGrad2Norm
-0.6662707191507189,0.14395449,0.39953917,1.5,0.002398052680917513,500,-3.4163168500820387,-1.5903712313438004e-05,-0.6418677201660231,11,1100,500.0,0.14999999,50000,0.91604286,0.001,-0.107979596,100,0.1621066
-0.666371759755413,0.35202417,0.39946464,1.5,0.0035064650893294625,500,-3.4153837634067337,-1.5903712313438004e-05,-0.643909723465139,12,1200,500.0,0.14999999,50000,0.9158989,0.001,0.9234474,100,0.3634209
-0.5900690993425894,0.11765532,0.39937434,1.5,0.002344649540776369,500,-3.006416502478404,-1.5903712313438004e-05,-0.6397681369941736,13,1300,500.0,0.14999999,50000,0.9155469,0.001,3.3080122,100,0.13253306
-0.6674018563364851,0.10493056,0.39931333,1.5,0.0039447170276562015,500,-3.4706105055275667,-1.5903712313438004e-05,-0.6417419740900528,14,1400,500.0,0.14999999,50000,0.91542923,0.001,1.7788132,100,0.14296089
-0.6012334475451944,0.11196297,0.39921623,1.5,0.0026841931756041403,500,-3.1082817373378755,-1.5903712313438004e-05,-0.6390414056537291,15,1500,500.0,0.14999999,50000,0.91532433,0.001,3.4111934,100,0.13014813
-0.6064140331458862,0.05724364,0.3991499,1.5,0.0019158011272767898,500,-3.0958771117385515,-1.5903712313438004e-05,-0.6370021948719888,16,1600,500.0,0.14999999,50000,0.9152124,0.001,3.1637728,100,0.077203296
-0.5971239012055304,0.08195863,0.39909264,1.5,0.0022390642986970244,500,-3.0532625386089736,-1.5903712313438004e-05,-0.6346564128916089,17,1700,500.0,0.14999999,50000,0.9151606,0.001,4.0644417,100,0.102022305
-0.5911655580500308,0.054725323,0.39903188,1.5,0.001934452409429454,500,-3.035020541409939,-1.5903712313438004e-05,-0.6322402542892991,18,1800,500.0,0.14999999,50000,0.91524255,0.001,1.1131605,100,0.056612864
-0.6433319342727266,0.07500368,0.39897716,1.5,0.0026066506244575736,500,-3.2860354801007707,-1.5903712313438004e-05,-0.6328240269200058,19,1900,500.0,0.14999999,50000,0.91522807,0.001,1.590236,100,0.09673839
-0.6822665224366057,0.11448809,0.39890215,1.5,0.002598980899185873,500,-3.4834563083815686,-1.5903712313438004e-05,-0.6352961516958358,20,2000,500.0,0.14999999,50000,0.915167,0.001,0.92719585,100,0.14199802
-0.60706838842213,0.056086548,0.39881814,1.5,0.0017699430643511001,500,-3.0784739355543,-1.5903712313438004e-05,-0.633951972492326,21,2100,500.0,0.14999999,50000,0.9150525,0.001,2.6710908,100,0.06073979
-0.6015508491550347,0.22287436,0.39876205,1.5,0.001939070240204176,500,-3.070581523158738,-1.5903712313438004e-05,-0.6324791941588127,22,2200,500.0,0.14999999,50000,0.9150758,0.001,0.3172617,100,0.22906408
-0.6762207483835426,0.08590538,0.39870915,1.5,0.0029075859915033025,500,-3.469583018675654,-1.5903712313438004e-05,-0.6343810008642358,23,2300,500.0,0.14999999,50000,0.9148529,0.001,0.5326025,100,0.087770954
-0.633838371828949,0.072502054,0.39862323,1.5,0.002277616163913455,500,-3.2326846368112188,-1.5903712313438004e-05,-0.634358391321099,24,2400,500.0,0.14999999,50000,0.9148709,0.001,2.9457545,100,0.099278696
-0.5621449759410426,0.05261364,0.3985554,1.5,0.0014456139042866014,500,-2.8529907555308927,-1.5903712313438004e-05,-0.6314698547058966,25,2500,500.0,0.14999999,50000,0.91479844,0.001,3.368023,100,0.06581013
-0.6264018911096221,0.07778769,0.39851588,1.5,0.0031072482199661637,500,-3.2356178335187677,-1.5903712313438004e-05,-0.6312749330291169,26,2600,500.0,0.14999999,50000,0.91485107,0.001,1.5160966,100,0.0996013
-0.6574880938325797,0.07316483,0.3984381,1.5,0.002294806290628228,500,-3.337204956605446,-1.5903712313438004e-05,-0.6322457908366526,27,2700,500.0,0.14999999,50000,0.91478884,0.001,1.0606008,100,0.086832054
-0.6543920142276517,0.07247121,0.39836493,1.5,0.002472562293551297,500,-3.332297372674014,-1.5903712313438004e-05,-0.633036727386331,28,2800,500.0,0.14999999,50000,0.91483563,0.001,0.24363852,100,0.083794005
-0.6540438013630093,0.08175043,0.39829245,1.5,0.0030084779384255828,500,-3.358160711386975,-1.5903712313438004e-05,-0.6337611092475958,29,2900,500.0,0.14999999,50000,0.91479355,0.001,0.50945944,100,0.09578351
-0.5732272049785552,0.14704183,0.3982107,1.5,0.0019135058539098146,500,-2.912906170512197,-1.5903712313438004e-05,-0.6317433124386278,30,3000,500.0,0.14999999,50000,0.91474366,0.001,2.4676843,100,0.15564245
-0.6863836810461824,0.24725065,0.39815968,1.5,0.0020922950539689414,500,-3.518301510722651,-1.5903712313438004e-05,-0.6335059049743553,31,3100,500.0,0.14999999,50000,0.9145966,0.001,-1.6066211,100,0.25911883
-0.675120830368475,0.09184377,0.39808217,1.5,0.003165237831040612,500,-3.4469279640216395,-1.5903712313438004e-05,-0.6348063713929215,32,3200,500.0,0.14999999,50000,0.9143494,0.001,-0.6326205,100,0.09807574
-0.6327971716703656,0.07564761,0.39799032,1.5,0.0026012197862964287,500,-3.213537568222817,-1.5903712313438004e-05,-0.634745486552844,33,3300,500.0,0.14999999,50000,0.914315,0.001,2.2221563,100,0.106444106
-0.5956237708331118,0.055995762,0.39791468,1.5,0.002044240998692287,500,-3.049487576788249,-1.5903712313438004e-05,-0.6335948478552049,34,3400,500.0,0.14999999,50000,0.91438985,0.001,0.40316227,100,0.07687685
-0.5586985348845294,0.31421068,0.39785868,1.5,0.0019452248141627825,500,-2.8285261463558897,-1.5903712313438004e-05,-0.6314549531988999,35,3500,500.0,0.14999999,50000,0.91444254,0.001,0.5582782,100,0.3179814
-0.6156728068233219,0.065546095,0.39780986,1.5,0.002312285902829103,500,-3.12850943058051,-1.5903712313438004e-05,-0.6310165602440228,36,3600,500.0,0.14999999,50000,0.9147568,0.001,1.3525538,100,0.08083662
-0.6828612889516223,0.22423877,0.39774433,1.5,0.0022455669109710994,500,-3.52310835454019,-1.5903712313438004e-05,-0.6324177691280118,37,3700,500.0,0.14999999,50000,0.9148041,0.001,2.6259518,100,0.23719856
-0.5782906940377107,0.13581556,0.397667,1.5,0.0017157665745491726,500,-2.956695061268458,-1.5903712313438004e-05,-0.6309933724151092,38,3800,500.0,0.14999999,50000,0.91457987,0.001,2.3172162,100,0.14420548
-0.5547190403635199,0.044318043,0.39761853,1.5,0.0017484239440473174,500,-2.8114803883084214,-1.5903712313438004e-05,-0.6290376203112223,39,3900,500.0,0.14999999,50000,0.914444,0.001,2.623447,100,0.044384096
-0.6030759399560064,0.05734996,0.39757422,1.5,0.0020107443314324376,500,-3.0868556921392116,-1.5903712313438004e-05,-0.628388578302342,40,4000,500.0,0.14999999,50000,0.9144465,0.001,1.4502447,100,0.06248053
-0.5869641234634179,0.059254017,0.39751688,1.5,0.002393764124031357,500,-3.025626267347823,-1.5903712313438004e-05,-0.627378225745295,41,4100,500.0,0.14999999,50000,0.91447127,0.001,1.0473977,100,0.05977583
-0.5397622364672477,0.041174173,0.39745763,1.5,0.001846813137772246,500,-2.7615078286720727,-1.5903712313438004e-05,-0.6252921307624844,42,4200,500.0,0.14999999,50000,0.9144634,0.001,0.3774569,100,0.044947673
-0.6556933818699681,0.38941246,0.39741644,1.5,0.0025042864855854895,500,-3.3646323307183392,-1.5903712313438004e-05,-0.6259991366021933,43,4300,500.0,0.14999999,50000,0.9144454,0.001,-1.5124136,100,0.39646125
-0.5996549342289011,0.23743533,0.39734203,1.5,0.0028353233315919933,500,-3.0756724737420105,-1.5903712313438004e-05,-0.6254004047300731,44,4400,500.0,0.14999999,50000,0.914056,0.001,1.1983683,100,0.24744667
-0.6676464503103283,0.122845024,0.39727235,1.5,0.002577696080603879,500,-3.3947354603764888,-1.5903712313438004e-05,-0.6263392057429675,45,4500,500.0,0.14999999,50000,0.91381854,0.001,-0.72173524,100,0.1482036
-0.5381334043364479,0.037175927,0.39718944,1.5,0.0017021996343360637,500,-2.7386123011059538,-1.5903712313438004e-05,-0.6244216883210867,46,4600,500.0,0.14999999,50000,0.9139414,0.001,1.5784901,100,0.051870544
-0.6597973353761329,0.07434539,0.39715227,1.5,0.0022549585711828394,500,-3.371665040357613,-1.5903712313438004e-05,-0.6251743616626834,47,4700,500.0,0.14999999,50000,0.9139052,0.001,-0.8106048,100,0.07735184
-0.6509228832064831,0.065318055,0.39707792,1.5,0.0019004929442706917,500,-3.314765848557227,-1.0207596047604743e-05,-0.6257107891948459,48,4800,500.0,0.14999999,50000,0.91392654,0.001,2.4934533,100,0.06556094
-0.5741284385620143,0.1120201,0.3970126,1.5,0.0030644535001894424,500,-2.917406703206428,-1.0207596047604743e-05,-0.6246580881615228,49,4900,500.0,0.14999999,50000,0.9139209,0.001,-0.64741975,100,0.13168876
-0.5355335489616467,0.046174135,0.39694336,1.5,0.0017158227504683423,500,-2.742446691387292,-1.0207596047604743e-05,-0.6228755973775254,50,5000,500.0,0.14999999,50000,0.9140329,0.001,-2.2221437,100,0.061270315
