MinEpLen,AvgRet,BatchSize,ReturnMax,TimestepsSoFar,MountainCar_mu0_higher,VarJ,NumTrajectories,NatGrad2Norm,ReturnMean,ActionIn1,AvgEpLen,StepSize,Iteration,MountainCar_std1_higher,J,NatGradInftyNorm,MountainCar_std0_higher,MountainCar_mu1_higher
500,-0.3679139708685989,100,-4.56130061196304e-06,50000,0.050098374,9.567817567548992e-05,1800,0.0152836265,-0.07666174718259738,-1.036015,500.0,0.01,18,1.5,-0.0726474017572775,0.014671156,0.14999999,-0.99993396
500,-0.40411121552418094,100,-4.56130061196304e-06,50000,0.05005554,0.0001678312091606524,1900,0.030641636,-0.07683135447627155,-0.44900236,500.0,0.01,19,1.5,-0.07988428576240661,0.027828254,0.14999999,-1.0000807
500,-0.3134851800471777,100,-4.56130061196304e-06,50000,0.049927283,6.545219833443748e-05,2000,0.017258562,-0.0760879788804987,1.8751781,500.0,0.01,20,1.5,-0.06196384256081448,0.01625768,0.14999999,-1.0003589
500,-0.34667805081115444,100,-4.56130061196304e-06,50000,0.049869366,8.452254917357562e-05,2100,0.006711011,-0.07573298312034986,-3.9796944,500.0,0.01,21,1.5,-0.06863306791737299,0.006666125,0.14999999,-1.0001963
500,-0.3497528280668205,100,-4.56130061196304e-06,50000,0.049861617,0.00010781205219637597,2200,0.00856932,-0.07542838841965022,0.002055049,500.0,0.01,22,1.5,-0.0690318997049581,0.006383026,0.14999999,-1.000263
500,-0.38143910331705383,100,-4.56130061196304e-06,50000,0.04979779,8.781068020972869e-05,2300,0.01101925,-0.07542849649648578,1.8870337,500.0,0.01,23,1.5,-0.0754308741868682,0.0094144065,0.14999999,-1.0002058
500,-0.34807715363796404,100,-4.56130061196304e-06,50000,0.049740523,0.00013547189697296226,2400,0.028484462,-0.07515506522383532,0.19529456,500.0,0.01,24,1.5,-0.06886614595287469,0.02750166,0.14999999,-1.0002999
500,-0.3938069714736394,100,-4.56130061196304e-06,50000,0.049666345,0.00011947166589090315,2500,0.0255823,-0.07524687149152635,-1.1186342,500.0,0.01,25,1.5,-0.07745022191611091,0.023194108,0.14999999,-1.000575
500,-0.3110219492416973,100,-4.56130061196304e-06,50000,0.049558416,6.557807745744293e-05,2600,0.01563738,-0.074714284921657,-1.5169117,500.0,0.01,26,1.5,-0.061399620674923404,0.014788109,0.14999999,-1.0008069
500,-0.34411275542682646,100,-4.56130061196304e-06,50000,0.049507584,6.336744185655405e-05,2700,0.021932926,-0.07445857004657845,-0.6806036,500.0,0.01,27,1.5,-0.06780998329453601,0.021250848,0.14999999,-1.0009549
500,-0.3459296639407317,100,-4.56130061196304e-06,50000,0.04945331,7.26855599571779e-05,2800,0.011580679,-0.07423293711375287,0.6722899,500.0,0.01,28,1.5,-0.06814084792746215,0.01012302,0.14999999,-1.0007423
500,-0.38512715479605375,100,-4.56130061196304e-06,50000,0.049397063,0.00012095429137888916,2900,0.069971524,-0.07429088288096229,-0.9402161,500.0,0.01,29,1.5,-0.07591336436282599,0.06930799,0.14999999,-1.0006411
500,-0.36802740587677435,100,-4.56130061196304e-06,50000,0.049300928,0.00011970784957100291,3000,0.024117783,-0.07422001507370005,-0.14547037,500.0,0.01,30,1.5,-0.07216484866309501,0.021079889,0.14999999,-1.0013342
500,-0.3281653195545387,100,-3.4426082728301637e-06,50000,0.04918375,9.743067152364468e-05,3100,0.008842348,-0.0739155062406186,-2.8964276,500.0,0.01,31,1.5,-0.06478024124817514,0.0065599293,0.14999999,-1.001545
500,-0.4396952160001157,100,-3.4426082728301637e-06,50000,0.04911815,0.00020068332123470507,3200,0.017860282,-0.07431490303384553,-1.5917114,500.0,0.01,32,1.5,-0.08669620362388036,0.01752852,0.14999999,-1.0016042
500,-0.35366933801037836,100,-3.4426082728301637e-06,50000,0.048942864,8.160030043524067e-05,3300,0.0062294235,-0.074180731881675,1.132503,500.0,0.01,33,1.5,-0.06988725501221822,0.00491541,0.14999999,-1.0016384
500,-0.39508382444562473,100,-3.4426082728301637e-06,50000,0.04889371,0.00016732871152316844,3400,0.020397663,-0.07429455940071308,1.4799582,500.0,0.01,34,1.5,-0.07805086752896946,0.0149117755,0.14999999,-1.0016001
500,-0.39007331503896814,100,-3.4426082728301637e-06,50000,0.048744593,0.00025765311431379426,3500,0.014121005,-0.07437208211111351,-3.1302125,500.0,0.01,35,1.5,-0.07700785426472886,0.01412097,0.14999999,-1.0017394
500,-0.31285461642182705,100,-3.4426082728301637e-06,50000,0.048603382,7.795945165432237e-05,3600,0.03621572,-0.07401470779811772,0.3255154,500.0,0.01,36,1.5,-0.06150660684326469,0.03567153,0.14999999,-1.0017397
500,-0.34351486114794416,100,-3.4426082728301637e-06,50000,0.048540834,0.00010244123264275333,3700,0.013282449,-0.07384668091248325,-3.6826074,500.0,0.01,37,1.5,-0.0677977130296421,0.009788172,0.14999999,-1.0020964
500,-0.42029723422569204,100,-3.4426082728301637e-06,50000,0.048451047,0.00029803151252543104,3800,0.018108342,-0.07409191839277558,-0.2264979,500.0,0.01,38,1.5,-0.08316570516359191,0.012996654,0.14999999,-1.0021943
500,-0.37854357703066044,100,-3.4426082728301637e-06,50000,0.04832108,0.00011735022817106191,3900,0.03352751,-0.07410352136418312,-0.9000401,500.0,0.01,39,1.5,-0.07454443427766937,0.03278948,0.14999999,-1.0023204
500,-0.42970823624229026,100,-3.4426082728301637e-06,50000,0.04825112,0.00019057603650720226,4000,0.03405973,-0.07436395121564048,1.4506003,500.0,0.01,40,1.5,-0.08452071542247733,0.030389939,0.14999999,-1.0019925
500,-0.5760999520127222,100,-3.4426082728301637e-06,50000,0.048097327,0.0002741059576113825,4100,0.08203307,-0.07531921472329071,-2.2589643,500.0,0.01,41,1.5,-0.11352975502930089,0.07813307,0.14999999,-1.0016886
500,-0.386564537017616,100,-3.4426082728301637e-06,50000,0.047847398,0.00011982204322604768,4200,0.009515721,-0.07534357672465261,-1.2212714,500.0,0.01,42,1.5,-0.0763424187804897,0.008236348,0.14999999,-1.0024699
500,-0.3993885923234511,100,-3.4426082728301637e-06,50000,0.047765035,0.00015693631362753544,4300,0.01797217,-0.0754221220748807,-3.165265,500.0,0.01,43,1.5,-0.07872102678446058,0.012877055,0.14999999,-1.0025176
500,-0.40254399506624383,100,-3.4426082728301637e-06,50000,0.047636263,0.00013984990122355777,4400,0.012262262,-0.07551171191053296,1.5426855,500.0,0.01,44,1.5,-0.07936407484358045,0.011611994,0.14999999,-1.002643
500,-0.29688523229053093,100,-3.4426082728301637e-06,50000,0.047520142,9.4056362233192e-05,4500,0.024148323,-0.07513547124057209,-1.8686539,500.0,0.01,45,1.5,-0.058580881762293924,0.023037901,0.14999999,-1.0026035
500,-0.37105675489473294,100,-3.4426082728301637e-06,50000,0.047447756,0.00014741201668757532,4600,0.02279511,-0.07509802409243777,-1.0291029,500.0,0.01,46,1.5,-0.07341290242639303,0.022623653,0.14999999,-1.0023731
500,-0.4854101210517838,100,-3.4426082728301637e-06,50000,0.04741985,0.00018729689860114214,4700,0.012924864,-0.07554567370269331,0.100568965,500.0,0.01,47,1.5,-0.09613755577444845,0.012109959,0.14999999,-1.0025994
500,-0.39942388006694496,100,-3.4426082728301637e-06,50000,0.04729875,0.00019607061288441773,4800,0.037092473,-0.07560990105698098,-3.3354044,500.0,0.01,48,1.5,-0.0786285867085013,0.035347328,0.14999999,-1.0025542
500,-0.3112734094960718,100,-3.4426082728301637e-06,50000,0.047186315,7.261532657252271e-05,4900,0.013038506,-0.07532216384084019,1.0408998,500.0,0.01,49,1.5,-0.061510777466082384,0.010669052,0.14999999,-1.0022007
500,-0.4421978612117502,100,-3.4426082728301637e-06,50000,0.047111366,0.00014105542742730387,5000,0.03205193,-0.0755589044500603,-0.95113146,500.0,0.01,50,1.5,-0.08715919430184611,0.03185126,0.14999999,-1.0023074
