ReturnMin,SqrtESSClassic,ReturnLastEpisode,ReturnMax,LQGmu,URet,IWMin,IWFirstEpisode,LQGsigma,ReturnMean,DenMISELogFirst,Iteration,target_sum_log_mean,Bound,ReturnStepMax,IWMax,ReturnAbsMax,TimestepsSoFar,IWLastEpisode,TimeElapsed,DenMISEMeanLog,IWMean,IWNorm2,MISE,IWNorm1,DenMISELogLast
,4.1636314,16.395666,16.844744,[[-0.165]],18.137948074289767,,2.1779706e-06,[[0.11]],16.397736,16.857197,33,13.851242,26.452885,0.9999906,2.8538742,16.844744,660,2.67026,5.2957563400268555,15.614794,1.1082109,8.783429,18.361513,36.57096,15.699091
,4.152345,16.537102,16.844744,[[-0.176]],18.288979299498816,,8.6370535e-05,[[0.11]],16.401834,16.827343,34,14.3796425,26.291096,0.9999906,3.0169895,16.844744,680,2.1535845,5.466847658157349,15.688832,1.1009473,9.014714,18.177732,37.432205,18.042889
,4.3303285,16.495302,16.844744,[[-0.166]],18.242424284518776,,2.7443783e-10,[[0.11]],16.404503,16.798359,35,12.492284,25.054602,0.9999906,2.6889198,16.844744,700,1.2459118,5.643312931060791,15.747889,1.0357779,8.371704,17.27471,36.252228,17.673958
,4.063876,16.756237,16.844744,[[-0.196]],18.516551569180624,,4.4912546e-12,[[0.11]],16.414272,16.770187,36,11.634713,26.20256,0.9999906,2.8949153,16.844744,720,2.8720636,5.815509557723999,15.693432,1.0718755,9.495249,17.91257,38.587517,13.765104
,3.982134,16.93874,16.93874,[[-0.204]],18.71186046681757,,3.8177371e-13,[[0.11]],16.428448,16.742788,37,11.120744,26.628883,0.9999906,3.106081,16.93874,740,2.370134,5.987405061721802,15.626742,1.0828613,10.061406,18.121515,40.06587,13.173608
,3.9464157,16.829237,16.93874,[[-0.208]],18.59436470823644,,4.4063474e-14,[[0.11]],16.438995,16.71612,38,10.763013,27.466656,0.9999906,3.3816693,16.93874,760,3.3133125,6.158330678939819,15.6278925,1.1271402,10.853222,18.882288,42.831326,15.609573
,3.8673031,16.654411,16.93874,[[-0.212]],18.409759222472623,,2.9495978e-15,[[0.11]],16.444517,16.690144,39,10.296228,27.901854,0.9999906,4.5705705,16.93874,780,2.2192361,6.323150396347046,15.659619,1.1421796,11.518364,19.141878,44.545006,16.763958
,3.6484606,16.584608,16.93874,[[-0.217]],18.343452701517137,,6.591766e-17,[[0.11]],16.44802,16.664827,40,9.615782,28.209167,0.9999906,6.727427,16.93874,800,2.0521603,6.489965438842773,15.755806,1.1286535,12.374024,18.92375,45.14614,19.39357
,3.1248481,16.293991,16.93874,[[-0.223]],18.03874533073564,,4.973216e-19,[[0.11]],16.444265,16.640135,41,8.330935,27.913328,0.9999906,9.621654,16.93874,820,0.03986108,6.65647554397583,15.63571,1.0169256,13.342712,17.072008,41.69395,10.735662
,2.8100247,16.82407,16.93874,[[-0.231]],18.5879679111558,,3.6705425e-21,[[0.11]],16.453308,16.616037,42,7.184025,28.57865,0.9999906,11.655666,16.93874,840,4.6426663,6.822941541671753,15.579437,0.98288584,14.690691,16.522713,41.281204,13.291424
